strategy_id,file,net_profit,profit_factor,drawdown,win_rate,trades
p1416c_risk_f3_s21_t100,p1416c_risk_f3_s21_t100.nts,0,0,0,0,0
p1416c_risk_f3_s21_t200,p1416c_risk_f3_s21_t200.nts,0,0,0,0,0
p1416c_risk_f3_s34_t100,p1416c_risk_f3_s34_t100.nts,0,0,0,0,0
p1416c_risk_f3_s34_t200,p1416c_risk_f3_s34_t200.nts,0,0,0,0,0
p1416c_risk_f3_s55_t100,p1416c_risk_f3_s55_t100.nts,0,0,0,0,0
p1416c_risk_f3_s55_t200,p1416c_risk_f3_s55_t200.nts,0,0,0,0,0
p1416c_risk_f3_s89_t100,p1416c_risk_f3_s89_t100.nts,0,0,0,0,0
p1416c_risk_f3_s89_t200,p1416c_risk_f3_s89_t200.nts,0,0,0,0,0
p1416c_risk_f3_s144_t100,p1416c_risk_f3_s144_t100.nts,0,0,0,0,0
p1416c_risk_f3_s144_t200,p1416c_risk_f3_s144_t200.nts,0,0,0,0,0
p1416c_risk_f5_s21_t100,p1416c_risk_f5_s21_t100.nts,0,0,0,0,0
p1416c_risk_f5_s21_t200,p1416c_risk_f5_s21_t200.nts,0,0,0,0,0
p1416c_risk_f5_s34_t100,p1416c_risk_f5_s34_t100.nts,0,0,0,0,0
p1416c_risk_f5_s34_t200,p1416c_risk_f5_s34_t200.nts,0,0,0,0,0
p1416c_risk_f5_s55_t100,p1416c_risk_f5_s55_t100.nts,0,0,0,0,0
p1416c_risk_f5_s55_t200,p1416c_risk_f5_s55_t200.nts,0,0,0,0,0
p1416c_risk_f5_s89_t100,p1416c_risk_f5_s89_t100.nts,0,0,0,0,0
p1416c_risk_f5_s89_t200,p1416c_risk_f5_s89_t200.nts,0,0,0,0,0
p1416c_risk_f5_s144_t100,p1416c_risk_f5_s144_t100.nts,0,0,0,0,0
p1416c_risk_f5_s144_t200,p1416c_risk_f5_s144_t200.nts,0,0,0,0,0
p1416c_risk_f8_s21_t100,p1416c_risk_f8_s21_t100.nts,0,0,0,0,0
p1416c_risk_f8_s21_t200,p1416c_risk_f8_s21_t200.nts,0,0,0,0,0
p1416c_risk_f8_s34_t100,p1416c_risk_f8_s34_t100.nts,0,0,0,0,0
p1416c_risk_f8_s34_t200,p1416c_risk_f8_s34_t200.nts,0,0,0,0,0
p1416c_risk_f8_s55_t100,p1416c_risk_f8_s55_t100.nts,0,0,0,0,0
p1416c_risk_f8_s55_t200,p1416c_risk_f8_s55_t200.nts,0,0,0,0,0
p1416c_risk_f8_s89_t100,p1416c_risk_f8_s89_t100.nts,0,0,0,0,0
p1416c_risk_f8_s89_t200,p1416c_risk_f8_s89_t200.nts,0,0,0,0,0
p1416c_risk_f8_s144_t100,p1416c_risk_f8_s144_t100.nts,0,0,0,0,0
p1416c_risk_f8_s144_t200,p1416c_risk_f8_s144_t200.nts,0,0,0,0,0
p1416c_risk_f9_s21_t100,p1416c_risk_f9_s21_t100.nts,0,0,0,0,0
p1416c_risk_f9_s21_t200,p1416c_risk_f9_s21_t200.nts,0,0,0,0,0
p1416c_risk_f9_s34_t100,p1416c_risk_f9_s34_t100.nts,0,0,0,0,0
p1416c_risk_f9_s34_t200,p1416c_risk_f9_s34_t200.nts,0,0,0,0,0
p1416c_risk_f9_s55_t100,p1416c_risk_f9_s55_t100.nts,0,0,0,0,0
p1416c_risk_f9_s55_t200,p1416c_risk_f9_s55_t200.nts,0,0,0,0,0
p1416c_risk_f9_s89_t100,p1416c_risk_f9_s89_t100.nts,0,0,0,0,0
p1416c_risk_f9_s89_t200,p1416c_risk_f9_s89_t200.nts,0,0,0,0,0
p1416c_risk_f9_s144_t100,p1416c_risk_f9_s144_t100.nts,0,0,0,0,0
p1416c_risk_f9_s144_t200,p1416c_risk_f9_s144_t200.nts,0,0,0,0,0
p1416c_risk_f13_s21_t100,p1416c_risk_f13_s21_t100.nts,0,0,0,0,0
p1416c_risk_f13_s21_t200,p1416c_risk_f13_s21_t200.nts,0,0,0,0,0
p1416c_risk_f13_s34_t100,p1416c_risk_f13_s34_t100.nts,0,0,0,0,0
p1416c_risk_f13_s34_t200,p1416c_risk_f13_s34_t200.nts,0,0,0,0,0
p1416c_risk_f13_s55_t100,p1416c_risk_f13_s55_t100.nts,0,0,0,0,0
p1416c_risk_f13_s55_t200,p1416c_risk_f13_s55_t200.nts,0,0,0,0,0
p1416c_risk_f13_s89_t100,p1416c_risk_f13_s89_t100.nts,0,0,0,0,0
p1416c_risk_f13_s89_t200,p1416c_risk_f13_s89_t200.nts,0,0,0,0,0
p1416c_risk_f13_s144_t100,p1416c_risk_f13_s144_t100.nts,0,0,0,0,0
p1416c_risk_f13_s144_t200,p1416c_risk_f13_s144_t200.nts,0,0,0,0,0
