time,open,high,low,close,tick_volume,spread,range,body,body_pct,upper_wick,lower_wick,sma_9,sma_21,sma_55,sma_200,atr_14,atr_pct,trend_9_21,trend_21_55,trend_55_200,session,volatility_state,spread_state
2007-03-21 00:00:00,0.7058,0.7112,0.7034,0.7106,3349.0,40.0,0.007800000000000029,0.0048000000000000265,0.6153846153846165,0.0006000000000000449,0.0023999999999999577,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-03-22 00:00:00,0.7107,0.7151,0.7077,0.7109,3348.0,40.0,0.007399999999999962,0.00019999999999997797,0.027027027027024187,0.0041999999999999815,0.0030000000000000027,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-03-23 00:00:00,0.7108,0.7158,0.7095,0.7111,6490.0,0.0,0.006299999999999972,0.00029999999999996696,0.047619047619042586,0.0047000000000000375,0.0012999999999999678,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-03-26 00:00:00,0.7086,0.718,0.7086,0.7166,3113.0,40.0,0.009399999999999964,0.008000000000000007,0.851063829787238,0.0013999999999999568,0.0,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-03-27 00:00:00,0.7168,0.7204,0.7157,0.717,6684.0,0.0,0.0047000000000000375,0.00019999999999997797,0.04255319148935668,0.0034000000000000696,0.0010999999999999899,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-03-28 00:00:00,0.7171,0.7176,0.708,0.7095,5700.0,40.0,0.009600000000000053,0.00759999999999994,0.7916666666666561,0.000500000000000056,0.0015000000000000568,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-03-29 00:00:00,0.7109,0.7161,0.7092,0.7151,6932.0,0.0,0.006899999999999906,0.0041999999999999815,0.6086956521739186,0.0010000000000000009,0.0016999999999999238,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-03-30 00:00:00,0.7153,0.7187,0.7112,0.714,7542.0,0.0,0.007499999999999951,0.0013000000000000789,0.17333333333334497,0.0033999999999999586,0.0027999999999999137,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-04-02 00:00:00,0.7145,0.7238,0.7128,0.7228,3480.0,40.0,0.01100000000000001,0.008299999999999974,0.7545454545454515,0.0010000000000000009,0.0017000000000000348,0.7141777777777778,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-04-03 00:00:00,0.723,0.7239,0.7188,0.72,5992.0,0.0,0.005099999999999993,0.0030000000000000027,0.5882352941176483,0.0009000000000000119,0.0011999999999999789,0.7152222222222222,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-04-04 00:00:00,0.7199,0.7225,0.7165,0.721,3943.0,40.0,0.006000000000000005,0.0010999999999999899,0.1833333333333315,0.0015000000000000568,0.0033999999999999586,0.7163444444444445,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2007-04-05 00:00:00,0.7211,0.7251,0.7195,0.7225,6054.0,0.0,0.005599999999999938,0.0014000000000000679,0.2500000000000149,0.0025999999999999357,0.0015999999999999348,0.7176111111111111,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-04-06 00:00:00,0.7226,0.7241,0.72,0.7202,1780.0,0.0,0.0040999999999999925,0.0024000000000000687,0.5853658536585544,0.0014999999999999458,0.00019999999999997797,0.718011111111111,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-04-09 00:00:00,0.721,0.7239,0.7186,0.7204,3340.0,0.0,0.005299999999999971,0.0005999999999999339,0.11320754716979946,0.0029000000000000137,0.0018000000000000238,0.7183888888888889,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2007-04-10 00:00:00,0.7202,0.7313,0.7188,0.7283,3458.0,40.0,0.012499999999999956,0.008099999999999996,0.648000000000002,0.0030000000000000027,0.0013999999999999568,0.7204777777777778,,,,0.007242857142857122,0.9944881426413733,NA,NA,NA,ASIA,HIGH,HIGH
2007-04-11 00:00:00,0.7282,0.7296,0.726,0.7286,2516.0,40.0,0.0036000000000000476,0.00040000000000006697,0.11111111111112824,0.0010000000000000009,0.0021999999999999797,0.7219777777777777,,,,0.006971428571428557,0.9568252225402906,NA,NA,NA,ASIA,HIGH,HIGH
2007-04-12 00:00:00,0.7284,0.7321,0.725,0.7299,5640.0,0.0,0.007099999999999995,0.0014999999999999458,0.21126760563379532,0.0021999999999999797,0.0034000000000000696,0.7237444444444444,,,,0.007028571428571416,0.9629499148611338,NA,NA,NA,ASIA,HIGH,NORMAL
2007-04-13 00:00:00,0.7298,0.7381,0.7296,0.7375,3315.0,40.0,0.008499999999999952,0.00770000000000004,0.9058823529411864,0.0005999999999999339,0.00019999999999997797,0.7253777777777777,,,,0.006964285714285701,0.9443099273607728,NA,NA,NA,ASIA,HIGH,HIGH
2007-04-16 00:00:00,0.7392,0.7411,0.7379,0.7395,2575.0,40.0,0.0031999999999999806,0.000300000000000078,0.09375000000002494,0.0015999999999999348,0.0012999999999999678,0.7275444444444444,,,,0.006885714285714265,0.9311310731188998,NA,NA,NA,ASIA,HIGH,HIGH
2007-04-17 00:00:00,0.7393,0.7455,0.7374,0.7441,6222.0,0.0,0.008099999999999996,0.0048000000000000265,0.5925925925925961,0.0014000000000000679,0.0018999999999999018,0.730111111111111,,,,0.006778571428571404,0.9109758672989389,NA,NA,NA,ASIA,HIGH,NORMAL
2007-04-18 00:00:00,0.7442,0.7492,0.7382,0.7478,4000.0,40.0,0.01100000000000001,0.0036000000000000476,0.3272727272727313,0.0013999999999999568,0.006000000000000005,0.7329222222222223,0.7232095238095239,,,0.007071428571428554,0.9456309937722056,UP,NA,NA,ASIA,HIGH,HIGH
2007-04-19 00:00:00,0.7475,0.7478,0.7364,0.7442,9112.0,0.0,0.011399999999999966,0.0033000000000000806,0.28947368421053427,0.00029999999999996696,0.007799999999999918,0.735588888888889,0.7248095238095238,,,0.007349999999999983,0.9876377317925267,UP,NA,NA,ASIA,HIGH,NORMAL
