time,open,high,low,close,tick_volume,spread,range,body,body_pct,upper_wick,lower_wick,sma_9,sma_21,sma_55,sma_200,atr_14,atr_pct,trend_9_21,trend_21_55,trend_55_200,session,volatility_state,spread_state
2022-07-06 12:00:00,11747.4,11793.5,11699.0,11779.0,16561.0,200.0,94.5,31.600000000000364,0.33439153439153824,14.5,48.399999999999636,,,,,,,NA,NA,NA,LONDON,NORMAL,HIGH
2022-07-06 16:00:00,11778.5,11853.0,11723.3,11791.8,41088.0,100.0,129.70000000000073,13.299999999999272,0.10254433307632381,61.20000000000073,55.20000000000073,,,,,,,NA,NA,NA,NY,NORMAL,HIGH
2022-07-06 20:00:00,11790.8,11943.3,11761.8,11873.1,32456.0,100.0,181.5,82.30000000000109,0.4534435261708049,70.19999999999891,29.0,,,,,,,NA,NA,NA,NY,NORMAL,HIGH
2022-07-07 00:00:00,11875.4,11880.4,11830.8,11852.4,8794.0,200.0,49.600000000000364,23.0,0.46370967741935143,5.0,21.600000000000364,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2022-07-07 04:00:00,11852.5,11884.3,11805.2,11883.3,17617.0,200.0,79.09999999999854,30.799999999999272,0.38938053097344927,1.0,47.29999999999927,,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
2022-07-07 08:00:00,11883.5,11930.2,11862.8,11902.4,19492.0,200.0,67.40000000000146,18.899999999999636,0.28041543026705085,27.80000000000109,20.700000000000728,,,,,,,NA,NA,NA,LONDON,NORMAL,HIGH
2022-07-07 12:00:00,11898.8,11917.4,11858.3,11897.0,18210.0,200.0,59.100000000000364,1.7999999999992724,0.030456852791865673,18.600000000000364,38.70000000000073,,,,,,,NA,NA,NA,LONDON,NORMAL,HIGH
2022-07-07 16:00:00,11897.3,12077.4,11880.9,12072.2,35320.0,100.0,196.5,174.90000000000146,0.89007633587787,5.199999999998909,16.399999999999636,,,,,,,NA,NA,NA,NY,NORMAL,HIGH
2022-07-07 20:00:00,12072.4,12138.2,12049.5,12090.2,22878.0,100.0,88.70000000000073,17.80000000000109,0.20067643742954844,48.0,22.899999999999636,11904.599999999999,,,,,,NA,NA,NA,NY,NORMAL,HIGH
2022-07-08 00:00:00,12085.6,12092.6,12062.3,12089.1,8941.0,200.0,30.30000000000109,3.5,0.11551155115511134,3.5,23.30000000000109,11939.055555555555,,,,,,NA,NA,NA,ASIA,NORMAL,HIGH
