time,open,high,low,close,tick_volume,spread,range,body,body_pct,upper_wick,lower_wick,sma_9,sma_21,sma_55,sma_200,atr_14,atr_pct,trend_9_21,trend_21_55,trend_55_200,session,volatility_state,spread_state
2020-09-23 00:00:00,5960.4,5969.7,5845.9,5853.4,24901.0,9.0,123.80000000000018,107.0,0.8642972536348937,9.300000000000182,7.5,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-09-24 00:00:00,5864.9,5894.9,5803.4,5833.1,43091.0,9.0,91.5,31.799999999999272,0.34754098360654945,30.0,29.700000000000728,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-09-25 00:00:00,5843.1,5881.2,5769.5,5878.0,36168.0,9.0,111.69999999999982,34.899999999999636,0.3124440465532649,3.199999999999818,73.60000000000036,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-09-28 00:00:00,5885.7,5955.7,5873.8,5941.7,33327.0,9.0,81.89999999999964,56.0,0.6837606837606868,14.0,11.899999999999636,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-09-29 00:00:00,5948.9,5961.9,5860.4,5895.1,22874.0,9.0,101.5,53.79999999999927,0.5300492610837366,13.0,34.70000000000073,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-09-30 00:00:00,5899.8,5932.8,5847.0,5864.0,42078.0,2.0,85.80000000000018,35.80000000000018,0.4172494172494185,33.0,17.0,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-10-01 00:00:00,5863.7,5925.7,5846.7,5878.7,38790.0,4.0,79.0,15.0,0.189873417721519,47.0,17.0,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-10-02 00:00:00,5868.6,5917.3,5794.0,5897.6,46012.0,9.0,123.30000000000018,29.0,0.23519870235198667,19.699999999999818,74.60000000000036,,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-10-05 00:00:00,5921.4,5977.0,5917.0,5964.5,28103.0,1.0,60.0,43.100000000000364,0.7183333333333394,12.5,4.399999999999636,5889.566666666667,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
2020-10-06 00:00:00,5956.7,5971.7,5900.9,5908.7,35691.0,9.0,70.80000000000018,48.0,0.6779661016949136,15.0,7.800000000000182,5895.711111111112,,,,,,NA,NA,NA,ASIA,NORMAL,NORMAL
