trade_id,edge_id,asset,timeframe,family,entry_time,exit_time_proxy,weekday,weekday_num,month,hour,session,return_1bar,outcome,mfe_10bar_proxy,mae_10bar_proxy,bars_held_proxy,body_pct,range_pct,upper_wick_pct,lower_wick_pct,close_position,atr_pct,atr_slope,atr_percentile_252,rsi14,rsi_slope,adx14,macd,macd_hist,ema20_50_state,ema50_200_state,bb_width,prev_low_sweep,prev_high_sweep,breakout_up,breakout_down,trend_regime,volatility_regime,market_physics_energy,market_entropy_proxy,trigger,structure,mtf_context_proxy,ORDER_SENT,REAL_ORDERS,FTMO_REAL,MT5_REAL
24b65a94334f281396122e5e,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-08-24 00:00:00+00:00,2015-08-25 00:00:00+00:00,Monday,0,8,0,ASIA,0.00420803582745366,WIN,0.028695762389623566,-0.0008365372428070788,1,0.028868483460935648,0.0483329640662055,0.0012965379155281034,0.01816794268974175,0.3758913412563665,0.00975960116608221,0.48991062379065853,0.5,17.4411065485196,-15.790445614330352,18.938241856782547,-0.4766497603888382,-0.5442051263862022,0,1,0.04639800578590803,0,0,0,1,RANGE,NORMAL_VOL,53.615923390173236,0.751782682512733,RSI_REVERSION,STAT_REVERSION,RANGE_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
09acfe4e0387aafb61929331,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-08-25 00:00:00+00:00,2015-08-26 00:00:00+00:00,Tuesday,1,8,0,ASIA,0.00827983137416588,WIN,0.024385113132452025,-0.0033405417231137345,1,0.004046838565780129,0.01813896117062625,0.013095197864215447,0.000996924740630675,0.27806241266884346,0.01041109458938022,0.07124304267161419,0.5,17.681284344359483,0.24017779583988386,24.746541552454776,-0.7686357322221227,-0.6689528785755894,0,1,0.058806100664991603,0,0,0,0,RANGE,NORMAL_VOL,60.70636922019045,0.5561248253376869,RSI_REVERSION,STAT_REVERSION,RANGE_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
79b10eee95b2b4993a791182,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-08-26 00:00:00+00:00,2015-08-27 00:00:00+00:00,Wednesday,2,8,0,ASIA,0.009722349720847623,WIN,0.015973027781718656,-0.01031487060512242,1,0.008407109435486546,0.01316188103813922,0.0015400410677618654,0.0032147305348908086,0.882992327365725,0.01100693976673513,0.065985452026325,0.5,25.874815179891584,8.193530835532101,30.665045843484105,-0.910144562208643,-0.6483693668496877,0,1,0.06476440437723828,0,0,0,0,RANGE,NORMAL_VOL,65.28760494126917,0.23401534526855006,RSI_REVERSION,STAT_REVERSION,RANGE_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
0718e59fc0461066b4314ba4,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-10-15 00:00:00+00:00,2015-10-16 00:00:00+00:00,Thursday,3,10,0,ASIA,0.004785936580032013,WIN,0.021826898814029765,-0.0005383127260493495,1,0.0005807054308582037,0.009316534955942125,0.0023144057026956992,0.0064214238223882225,0.7515808491418194,0.006631580212200952,-0.009245130598690365,0.5,28.130671506352044,-7.836064460383824,38.003143329712465,-0.3825762293013071,-0.05511805578765622,0,0,0.014906687134628269,1,0,0,0,TREND_DOWN,NORMAL_VOL,45.99740106440071,0.4968383017163611,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
1ed685196e6e8c151934459b,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-12-24 00:00:00+00:00,2015-12-28 00:00:00+00:00,Thursday,3,12,0,ASIA,0.0004903590425533455,WIN,0.00274268617021287,-0.030161236702127583,1,0.004896122800053038,0.006144964933174499,0.0006450972608176917,0.0006037448723037687,0.09825033647374667,0.008356881648936186,-0.010890949971895436,0.5,29.741944889925477,-7.763590165425029,41.674369428189955,-0.37200734907729327,-0.20457570671060238,0,0,0.03161622024114677,0,0,0,1,TREND_DOWN,NORMAL_VOL,60.687873233648375,0.1965006729474934,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
1d8293ccf9530bea268f1008,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2015-12-28 00:00:00+00:00,2015-12-29 00:00:00+00:00,Monday,0,12,0,ASIA,0.0005565754824345959,WIN,0.00225122321999685,-0.0306365728241637,1,0.0022980275263732837,0.004354595638743498,0.0020565681123702146,0.0,0.5277246653919789,0.008441197028907534,0.010584641613981427,0.5,27.54473011577204,-2.197214774153437,44.61849593415936,-0.42620412600058444,-0.20701798690711484,0,0,0.03324140541305224,1,0,0,0,TREND_DOWN,NORMAL_VOL,63.33732040562526,0.9445506692160421,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
26a78fb2a4e08d739087acd2,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-08 00:00:00+00:00,2016-01-11 00:00:00+00:00,Friday,4,1,0,ASIA,0.004427232169514461,WIN,0.01404942463042426,-0.01073966339387012,1,0.003536061881082892,0.013727740235454077,0.010140677461855565,5.100089251562096e-05,0.0037151702786379233,0.007998995860361239,0.07597737890336775,0.5,3.94873571181148,-6.240671513723257,50.68514240712551,-1.0496144848764288,-0.3632457615497201,0,0,0.046683868097310496,0,0,0,1,TREND_DOWN,NORMAL_VOL,72.72713309669297,0.007430340557275872,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
c4575fac3756a4194758c594,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-12 00:00:00+00:00,2016-01-13 00:00:00+00:00,Tuesday,1,1,0,ASIA,0.0001870144001088203,WIN,0.010523810333395667,-0.01417909179006789,1,0.0008238841466003669,0.00717713509151908,0.0028283857816282193,0.0035248651632904934,0.49112426035503765,0.00736703154714343,0.0150589810089512,0.5,14.305949008498715,-1.0265633067722177,58.22230886043061,-1.1360743604045496,-0.2935510722516481,0,0,0.05287429176979246,0,0,0,0,TREND_DOWN,NORMAL_VOL,79.25714144800328,0.9822485207100753,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
51b9103169ac3c209a12e266,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-13 00:00:00+00:00,2016-01-14 00:00:00+00:00,Wednesday,2,1,0,ASIA,0.003238143804181526,WIN,0.011958184599694005,-0.014363420023797363,1,0.0003911099018823632,0.006478820548574153,0.00608771064669179,0.0,0.06036745406823129,0.007473106529710313,0.014588312865737363,0.5,15.003087054949532,0.6971380464508172,60.31387251161321,-1.1494772299352718,-0.24556315342589619,0,0,0.05520800145589477,0,0,0,0,TREND_DOWN,NORMAL_VOL,81.23737746632321,0.1207349081364626,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
d0cf97d7c8c89066bc68d979,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-15 00:00:00+00:00,2016-01-18 00:00:00+00:00,Friday,4,1,0,ASIA,0.0027863962323819713,WIN,0.0400779507166851,-0.008778002854774062,1,0.008869574057131215,0.014926637524990686,0.001889126088577132,0.004167937379282339,0.27922814982974137,0.008542954092840001,0.07854169878218009,0.5,20.02525708100309,-1.8079451219866627,64.99187492466451,-1.1611957342844335,-0.17181390875967362,0,0,0.05489977774808618,1,0,0,0,TREND_DOWN,NORMAL_VOL,83.98110953784006,0.5584562996594827,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
6d3a2aaf6000e90c1e9153f4,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-18 00:00:00+00:00,2016-01-19 00:00:00+00:00,Monday,0,1,0,ASIA,0.0024718085967798675,WIN,0.03718793416465667,-0.01153226562566585,1,0.005769395627946743,0.006729532790398599,0.0009601371624518558,0.0,0.8573248407643191,0.008678726982043474,0.018723647538053667,0.5,23.700516351118537,3.675259270115447,66.91898001311948,-1.1569864727202912,-0.1340837177564249,0,0,0.05131053406405643,0,0,0,0,TREND_DOWN,NORMAL_VOL,84.04417006813799,0.2853503184713617,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
c5074c34ad9f602ae0e20dc6,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-20 00:00:00+00:00,2016-01-21 00:00:00+00:00,Wednesday,2,1,0,ASIA,0.006611358193636674,WIN,0.04076291481354777,-0.0038744440643175074,1,0.005858395190844179,0.014548206344752516,0.0006121980460679262,0.008077613107840411,0.5552308591467,0.009940863105420063,0.09479916571351632,0.5,23.07923169267707,-3.4415705615910923,70.59550187527235,-1.1288793831481456,-0.06966659389261798,0,0,0.04948693920819716,1,0,0,0,TREND_DOWN,NORMAL_VOL,85.61938942229025,0.8895382817066,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
992dbb07773c7865b78cf982,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-11 00:00:00+00:00,2016-02-12 00:00:00+00:00,Thursday,3,2,0,ASIA,0.007152706730127578,WIN,0.021938525866287032,-0.01215248432009252,1,0.008030710850284575,0.023068437541367025,0.0024533380399771065,0.012584388651105343,0.5455241009946441,0.01470130332280592,0.05818048758175953,0.5,23.81069958847735,-8.420906713293007,23.50883937672641,-1.324100554200328,-0.5811087025638508,0,0,0.07445151679962565,0,0,0,1,TREND_DOWN,NORMAL_VOL,62.37089577740235,0.9089517980107118,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
f67ec5b6c341fc67bdeda8db,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-12 00:00:00+00:00,2016-02-15 00:00:00+00:00,Friday,4,2,0,ASIA,0.01191601374449025,WIN,0.01468081159625111,-0.019168087342879114,1,0.00717958755182294,0.016716784398854156,0.002909200903898491,0.006627995943132725,0.8259712613092084,0.015350243481399127,0.05161011454506159,0.5,29.64715316760227,5.836453579124921,24.88967156245104,-1.464853921588201,-0.5774896559613791,0,0,0.0813650092190539,0,0,0,0,TREND_DOWN,NORMAL_VOL,63.70395009934869,0.3480574773815832,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
4e8facf94451e304e4440e02,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-19 00:00:00+00:00,2016-02-22 00:00:00+00:00,Friday,4,2,0,ASIA,0.0033235286276669385,WIN,0.017941722725293395,-0.013258568749944499,1,0.006313688783709705,0.009483778676509529,0.0011391130812567762,0.002030976811543048,0.21415270018622384,0.015132338136665827,0.011326517626097488,0.5,17.381210338956876,-0.738999423043964,36.14894631888838,-1.5746810605679684,-0.27324084903092594,0,0,0.0977800028206878,0,0,0,0,TREND_DOWN,NORMAL_VOL,71.2583937198544,0.4283054003724477,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
8f615cdcf55257f72f42c4e2,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-23 00:00:00+00:00,2016-02-24 00:00:00+00:00,Tuesday,1,2,0,ASIA,0.0006780084394206742,WIN,0.02191929915338151,-0.00940290651512585,1,0.00629415884329312,0.011364945967749054,0.0021896580764695964,0.0028811290479863376,0.25351014040561914,0.013950788312256011,-0.07240911787136706,0.5,23.75986215652493,2.431304683389115,44.91512148887795,-1.6377330121718927,-0.22385102061013584,0,0,0.10263803292417674,0,0,0,0,TREND_DOWN,NORMAL_VOL,76.67577226263302,0.5070202808112383,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
e5ab16688a4ccfa869e11f00,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-24 00:00:00+00:00,2016-02-25 00:00:00+00:00,Wednesday,2,2,0,ASIA,0.007239076750260809,WIN,0.021226898697501096,-0.002460572885556582,1,0.0008387240687039401,0.010912335489627473,0.0008298014722284499,0.009243809948695083,0.9239574816026136,0.013631217181217622,-0.02224455305348705,0.5,27.005910047079993,3.2460478905550616,49.4579803638909,-1.65523423418513,-0.1930817940986984,0,0,0.10345393407905762,0,0,0,0,TREND_DOWN,NORMAL_VOL,79.41199915035978,0.1520850367947728,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
591544974b720f3f61077a67,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-11 00:00:00+00:00,2016-04-12 00:00:00+00:00,Monday,0,4,0,ASIA,0.005382570107744122,WIN,0.03630687134638364,-0.001009810915222287,1,0.0002222942620293698,0.007520955865326704,0.004371787153244053,0.002926874450053281,0.3891625615763589,0.009114767723637375,-0.021037668798863263,0.5,17.48241500586164,-5.036082830240559,32.928680616016706,-1.320708407516733,-0.4216857700295522,0,0,0.06239565367946806,1,0,0,0,TREND_DOWN,NORMAL_VOL,66.19378860787211,0.7783251231527178,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
0fd1d3d72d4058e4b0eb7639,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-12 00:00:00+00:00,2016-04-13 00:00:00+00:00,Tuesday,1,4,0,ASIA,0.007399421315493537,WIN,0.030758740163284806,-0.00635815779289003,1,0.005596842046739183,0.008487926017902452,0.0024092366426359912,0.00048184732852727725,0.7161572052401837,0.009166015054222045,0.011035283868157553,0.5,23.874543733946254,6.392128728084614,35.74127847447324,-1.3605998792356218,-0.36926179339875276,0,0,0.06507110049202187,0,0,0,0,TREND_DOWN,NORMAL_VOL,68.3964138961766,0.5676855895196327,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
0c14ae124a717ddb31446670,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-13 00:00:00+00:00,2016-04-14 00:00:00+00:00,Wednesday,2,4,0,ASIA,0.0006860278984679447,WIN,0.02318774296821401,-0.013656528698833836,1,0.007362291063892585,0.008283729244604987,0.0007002930173414058,0.00022114516337099784,0.9154616240267037,0.009220868315311489,0.013428120063191828,0.5,27.491630182848354,3.6170864489021,38.027901609087166,-1.3122914895084108,-0.25676272293723335,0,0,0.0657682257344156,0,0,0,0,TREND_DOWN,NORMAL_VOL,69.88401496685384,0.16907675194659255,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
8a1add9e7113e940d0f7e3fe,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-15 00:00:00+00:00,2016-04-18 00:00:00+00:00,Friday,4,4,0,ASIA,0.0006897947170922958,WIN,0.028989772643661257,-0.02257008314325651,1,0.005697250139459215,0.010361130670958616,0.003456758511581971,0.0012071220199174292,0.11650485436892437,0.009649899618444976,0.03501972942502829,0.5,20.20508925180404,-5.839039983814587,45.972783677791206,-1.2467695169594322,-0.12131636435940063,0,0,0.06941415996663464,0,0,0,0,TREND_DOWN,NORMAL_VOL,75.21856859490177,0.23300970873784876,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
c1a566f23d799155e0db4b39,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-18 00:00:00+00:00,2016-04-19 00:00:00+00:00,Monday,0,4,0,ASIA,0.0035017416799170142,WIN,0.028280470207622935,-0.024512191759418413,1,0.005582306675662429,0.010656290723574208,0.0016820857863751252,0.0033918982615366543,0.842150910667822,0.009617644471462836,-0.002655047995098525,0.5,23.169717138103195,2.964627886299155,50.65688608731789,-1.2213011344745581,-0.07667838549962114,0,0,0.07069643596943757,0,0,0,0,TREND_DOWN,NORMAL_VOL,78.2287497322786,0.315698178664356,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
504c8b25c0b14a8106275d2b,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-19 00:00:00+00:00,2016-04-20 00:00:00+00:00,Tuesday,1,4,0,ASIA,0.005806711606096027,WIN,0.024692262602579115,-0.03332905920281356,1,0.0035939812304099632,0.0067651411395954165,0.0027391468201079278,0.0004320130890775257,0.5951086956521737,0.009548756489700211,-0.0036860068259386702,0.5,27.903181941800426,4.733464803697231,52.43336387001266,-1.1570361495137433,-0.009930720431045037,0,0,0.07024621423492348,0,0,0,0,TREND_DOWN,NORMAL_VOL,79.20003233742456,0.8097826086956526,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
