trade_id,edge_id,asset,timeframe,family,entry_time,exit_time_proxy,weekday,weekday_num,month,hour,session,return_1bar,outcome,mfe_10bar_proxy,mae_10bar_proxy,bars_held_proxy,body_pct,range_pct,upper_wick_pct,lower_wick_pct,close_position,atr_pct,atr_slope,atr_percentile_252,rsi14,rsi_slope,adx14,macd,macd_hist,ema20_50_state,ema50_200_state,bb_width,prev_low_sweep,prev_high_sweep,breakout_up,breakout_down,trend_regime,volatility_regime,market_physics_energy,market_entropy_proxy,trigger,structure,mtf_context_proxy,ORDER_SENT,REAL_ORDERS,FTMO_REAL,MT5_REAL
e01a53d160b4bedbcf2da00a,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-06 00:00:00+00:00,2016-01-07 00:00:00+00:00,Wednesday,2,1,0,ASIA,-0.0067788311370370335,LOSS,0.00321635699030028,-0.02099496019652697,1,0.004889153974747837,0.007720158939507195,0.0010668772419122753,0.0017641277228470816,0.22850924918388948,0.007130375217529234,-0.02458137424729867,0.5,20.27326440177231,-11.970744312824678,41.538498614976056,-0.7775226814589615,-0.26230976813568396,0,0,0.03638993151154826,0,0,0,1,TREND_DOWN,NORMAL_VOL,63.28679923906272,0.45701849836777897,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
1376145fdb17c225cdc47262,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,Thursday,3,1,0,ASIA,-0.003612286875074311,LOSS,0.010063406259030697,-0.014313155523824074,1,0.006753676532662445,0.012055312610802484,0.002524186604082653,0.0027774494740573853,0.230392156862741,0.007407312968534879,0.03179704016913232,0.5,10.189407225534737,-10.083857176237572,45.16165173441328,-0.916934761403283,-0.32137747846400433,0,0,0.040037645722519596,0,0,0,1,TREND_DOWN,NORMAL_VOL,66.97435614225974,0.460784313725482,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
7cdb8fc1b4098dcaaa3d4786,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-11 00:00:00+00:00,2016-01-12 00:00:00+00:00,Monday,0,1,0,ASIA,-0.0009341984577232454,LOSS,0.009579780548289568,-0.01510004416210896,1,0.005559493411445302,0.011366644747517042,0.002339940391299529,0.003467210944772212,0.7941397445529674,0.007250957250107997,-0.08950335161486855,0.5,15.332512315270932,11.383776603459452,54.58460150347262,-1.1002027071431115,-0.3310671870531222,0,0,0.04969649522145335,1,0,0,0,TREND_DOWN,NORMAL_VOL,76.0338723246484,0.41172051089406514,RSI_REVERSION,SWEEP,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
651a6863f16cae83bc98e84a,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-14 00:00:00+00:00,2016-01-15 00:00:00+00:00,Thursday,3,1,0,ASIA,-0.008844384578239772,LOSS,0.008691895188959737,-0.017544751399937292,1,0.0032551972666541636,0.008388719849054115,0.0019888150402013367,0.003144707542198614,0.7629179331306922,0.007850783081423294,0.05393988627132429,0.5,21.833202202989753,6.830115148040221,62.78784143121637,-1.1164854356367044,-0.17005708730186309,0,0,0.05498445884076663,0,0,0,0,TREND_DOWN,NORMAL_VOL,82.67971256720915,0.47416413373861555,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
95fdc4a0e7f25f144f30e68d,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-01-19 00:00:00+00:00,2016-01-20 00:00:00+00:00,Tuesday,1,1,0,ASIA,-0.005892205793577188,LOSS,0.03463052553714307,-0.013969544183040996,1,0.002676919666834269,0.007502195244631202,0.00422851004697393,0.0005967655308230026,0.436363636363639,0.009026577479894715,0.04265170115748784,0.5,26.520802254268162,2.8202859031496246,67.62315585637134,-1.1173696840563991,-0.0755735432740261,0,0,0.050195074195453486,0,0,0,0,TREND_DOWN,NORMAL_VOL,84.06723619076745,0.872727272727278,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
855f0ae250ff6541802ec1ff,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-18 00:00:00+00:00,2016-02-19 00:00:00+00:00,Thursday,3,2,0,ASIA,-0.006050381571509167,LOSS,0.01178278688524593,-0.019228730921424467,1,0.007417018814329081,0.01032771650505863,0.002235626238361553,0.0006750714523679945,0.06536502546689164,0.014872330008883142,-0.08226271120454776,0.5,18.12020976200084,-14.816469886059181,32.67794452995603,-1.5020124246294273,-0.2688824253501165,0,0,0.09428432698597257,0,0,0,0,TREND_DOWN,NORMAL_VOL,68.96556139211518,0.13073005093378331,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
59ddbca041f1021fc6fff22b,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-02-22 00:00:00+00:00,2016-02-23 00:00:00+00:00,Monday,0,2,0,ASIA,-0.0071918869846330225,LOSS,0.01456977104645495,-0.016527168858775074,1,0.002958106811640536,0.008536758696656349,0.004246171339231731,0.001332480545784082,0.5026014568158219,0.014931642910917515,-0.009983221476510096,0.5,21.328557473135817,3.9473471341789406,40.56687108763548,-1.5838353358979447,-0.2259160994887217,0,0,0.09993601382449974,0,0,0,0,TREND_DOWN,NORMAL_VOL,73.95119483197863,0.9947970863683562,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
a62bd7fc3dc7242544085d1c,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-07 00:00:00+00:00,2016-04-08 00:00:00+00:00,Thursday,3,4,0,ASIA,-0.001432836924669778,LOSS,0.015872135481664298,-0.0051027482736626705,1,0.014521139463063961,0.020369678694737135,0.0011842836450428205,0.004664255586630353,0.22898032200357904,0.009061868181644096,0.10463618802317942,0.5,27.554720021485238,-8.659133374614271,30.05918691668457,-1.0173314335692112,-0.32318636881147567,0,0,0.04970604312686514,0,0,0,1,TREND_DOWN,NORMAL_VOL,61.32913513529456,0.4579606440071581,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
ba7a2477f0b01d41df826144,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-08 00:00:00+00:00,2016-04-11 00:00:00+00:00,Friday,4,4,0,ASIA,-0.0007498472533372658,LOSS,0.034992871822406554,-0.003675177278702538,1,0.0014143748555580458,0.010205685232262531,0.008495493413450399,0.0002958169632540854,0.028985507246386513,0.0093036603654811,0.02521130865636856,0.5,22.5184978361022,-5.036222185383039,30.8912553966826,-1.1914257158680215,-0.3978245208882287,0,0,0.05718766458145855,0,0,0,0,TREND_DOWN,NORMAL_VOL,64.00426970612449,0.057971014492772976,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
25eecfe1131b27c128f4d2ec,1cc93c6ad88c93e6e784defa,USDJPY,D1,RSI_REVERSION,2016-04-14 00:00:00+00:00,2016-04-15 00:00:00+00:00,Thursday,3,4,0,ASIA,-0.006142595978062215,LOSS,0.022669104204753106,-0.014332723948811809,1,0.0007043348609168464,0.005954831096841436,0.0012989032500022495,0.00395159298592234,0.7818740399385611,0.009266126926090357,0.005597675901650501,0.5,26.044129235618627,-1.4475009472297273,41.01537475928524,-1.253505241266197,-0.1583811797560155,0,0,0.06712179056935393,0,0,0,0,TREND_DOWN,NORMAL_VOL,71.86570698591453,0.43625192012287783,RSI_REVERSION,STAT_REVERSION,TREND_DOWN_NORMAL_VOL,False,FORBIDDEN,FORBIDDEN,FORBIDDEN
