time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2026-04-02 19:00:00,1.3917,1.39243,1.39168,1.39195,971,,,1.39195,1.39195,1.39195,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
2026-04-02 19:15:00,1.39195,1.39236,1.39167,1.39192,847,,,1.3919433333333333,1.3919472727272728,1.3919489285714286,,,,,,,,,,-2.3931623931439105e-06,-4.786324786287821e-07,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 19:30:00,1.39192,1.39237,1.39155,1.39166,1159,,,1.3918803703703704,1.3919211570247936,1.3919386096938777,,,,,,,,,,-2.4981615408758984e-05,-5.379229064654823e-06,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 19:45:00,1.39167,1.39179,1.39112,1.39137,1014,,,1.3917669547325104,1.3918710518407214,1.3919183022048107,,,,,,,,,,-6.5528333692777e-05,-1.740904999027926e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 20:00:00,1.39137,1.39149,1.39107,1.39107,914,,,1.3916120759030637,1.3917982289461102,1.391888005697496,,,,,,,,,,-0.00012048056786184702,-3.802335356459282e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 20:15:00,1.39107,1.39143,1.39097,1.39138,556,,,1.3915605034801608,1.3917602081328275,1.3918698626368713,,,,,,,,,,-0.00013743196992765938,-5.7905076837206135e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 20:30:00,1.39138,1.39179,1.39116,1.39145,662,,,1.3915359471512363,1.3917320073934796,1.3918548675426972,,,,,,,,,,-0.00014356276106242127,-7.503661368224917e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 20:45:00,1.39145,1.39162,1.39134,1.39148,575,,,1.3915235144509617,1.391709097630436,1.3918414794161724,,,,,,,,,,-0.0001443368821960611,-8.889666738501156e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 21:00:00,1.39148,1.3918,1.39136,1.39167,651,,,1.3915560667951925,1.3917055433003964,1.3918353551513092,,,,,,,,,,-0.0001281418274463597,-9.674569939728119e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 21:15:00,1.39167,1.39206,1.39162,1.39198,548,,,1.3916502741740384,1.3917304939094512,1.3918405210387625,,,,,,,,,,-8.926374378304125e-05,-9.52493082744332e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 21:30:00,1.39198,1.39217,1.39181,1.39183,583,,,1.3916902132464741,1.3917395399176828,1.3918401452873783,,,,,,,,,,-6.975226804906143e-05,-9.014990022935885e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-04-02 21:45:00,1.39182,1.39188,1.39161,1.39174,610,,,1.3917012769694799,1.391739581743348,1.391836568669972,,,,,,,,,,-6.085008884948451e-05,-8.4289937953384e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
