symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
BPAC5F,D1,2024-01-07,7.9,7.95,7.64,7.91,5808.85,740.0,,,7.91,7.91,7.91,,,,,,,,,,0.0,0.0,,,,NONE,1,0,RANGE,NORMAL_VOL
BPAC5F,D1,2024-01-08,8.4,8.6,8.37,8.49,2981.46,352.0,,,8.038888888888888,7.962727272727272,7.930714285714286,,,,,,,,,,0.04626780626780569,0.009253561253561138,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-01-10,8.92,9.29,8.55,8.55,4156.16,481.0,,,8.152469135802468,8.016115702479338,7.952831632653061,,,,,,,,,,0.08677656837200942,0.024758162677250797,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-01-11,8.74,8.74,8.43,8.5,3486.01,408.0,,,8.229698216735253,8.060105184072125,7.9723733600583095,,,,,,,,,,0.11353669174855696,0.042513868491512036,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-02-07,7.71,7.88,7.71,7.84,4055.31,519.0,,,8.143098613016308,8.040095621883749,7.967645740056227,,,,,,,,,,0.0805591622943016,0.050122927252069946,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-02-08,8.32,8.7,8.32,8.43,1313.08,153.0,,,8.206854476790461,8.07554147443977,7.9841583921970765,,,,,,,,,,0.1008695405020017,0.060272249902056305,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-02-09,9.49,9.56,9.35,9.36,8172.0,860.0,,,8.463109037503692,8.192310431308883,8.033295592475753,,,,,,,,,,0.18982075373593155,0.08618195066883136,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-02-10,8.55,8.83,8.52,8.69,3940.31,456.0,,,8.513529251391759,8.23755493755353,8.056749321315905,,,,,,,,,,0.20390138229543986,0.10972583699415306,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-02-12,7.91,8.31,7.7,7.7,3234.28,411.0,,,8.3327449733047,8.188686306866844,8.044008274126051,,,,,,,,,,0.1336351923372714,0.11450770806277673,,,,NONE,0,0,TREND_UP,NORMAL_VOL
BPAC5F,D1,2024-03-07,7.85,8.25,7.84,8.11,5998.56,745.0,,,8.2832460903481,8.181533006242585,8.046365121478694,,,,,,,,,,0.10976697863970486,0.11355956217816236,,,,NONE,0,0,TREND_UP,NORMAL_VOL
