time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2026-05-21 12:10:00,158.972,158.972,158.957,158.967,148,,,158.967,158.967,158.967,,,,,,,,,,0.0,0.0,,,,NONE,1,0,RANGE,NORMAL_VOL
2026-05-21 12:15:00,158.967,158.972,158.947,158.952,156,,,158.96366666666665,158.96563636363638,158.9664642857143,,,,,,,,,,-0.0011965811966092588,-0.00023931623932185178,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:20:00,158.952,158.956,158.931,158.94,137,,,158.9584074074074,158.96330578512396,158.96551913265307,,,,,,,,,,-0.00307770229139237,-0.0008069934497359555,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:25:00,158.94,158.951,158.919,158.929,202,,,158.95187242798355,158.96018707738543,158.96421487791548,,,,,,,,,,-0.005393934462063044,-0.0017243816522013733,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:30:00,158.929,158.944,158.91,158.935,191,,,158.94812299954276,158.95789734307763,158.9631714894185,,,,,,,,,,-0.006668544459472514,-0.0027132142136556017,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:35:00,158.935,158.955,158.921,158.946,190,,,158.94765122186658,158.9568157664342,158.96255822193928,,,,,,,,,,-0.006713682839659896,-0.0035133079388564607,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:40:00,158.946,158.957,158.934,158.948,175,,,158.94772872811845,158.956014333122,158.96203828544145,,,,,,,,,,-0.006512994301743902,-0.004113245211433949,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:45:00,158.948,158.951,158.93,158.936,183,,,158.9451223440921,158.95419484829273,158.96110834667567,,,,,,,,,,-0.007238802492253171,-0.004738356667597794,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:50:00,158.936,158.97,158.935,158.97,162,,,158.95065071207165,158.9556316802661,158.961425905723,,,,,,,,,,-0.005012711444976503,-0.004793227623073536,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 12:55:00,158.97,158.978,158.967,158.975,174,,,158.95606166494463,158.95739243660552,158.96191069480432,,,,,,,,,,-0.0028126377020498694,-0.004397109638868803,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 13:00:00,158.975,158.997,158.972,158.981,290,,,158.96160351717916,158.95953857873226,158.96259245570417,,,,,,,,,,-0.0005782478726814588,-0.003633337285631334,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2026-05-21 13:05:00,158.981,158.987,158.972,158.983,209,,,158.96635829113933,158.96167143521114,158.96332129657188,,,,,,,,,,0.001338476328356819,-0.0026389745628337033,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2026-05-21 13:10:00,158.982,158.992,158.97,158.974,139,,,158.9680564486639,158.96279221382832,158.9637026788372,,,,,,,,,,0.002106981314057066,-0.0016897833874555495,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
