time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2020-09-07,1.18458,1.18485,1.18111,1.18136,31385,,,1.18136,1.18136,1.18136,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
2020-09-08,1.18136,1.18273,1.17654,1.17739,56953,,,1.1804777777777777,1.1809990909090908,1.1812182142857142,,,,,,,,,,-0.0003166951566950793,-6.333903133901587e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-09,1.17747,1.18337,1.17528,1.18027,50318,,,1.1804316049382715,1.1809328099173553,1.1811843494897958,,,,,,,,,,-0.00033146549135132375,-0.00011696432334147745,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-10,1.18026,1.19174,1.17994,1.18146,60593,,,1.1806601371742111,1.1809807362885048,1.1811941941508746,,,,,,,,,,-0.00024433153142267017,-0.00014243776495771602,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-11,1.18145,1.18739,1.18086,1.18459,46151,,,1.1815334400243864,1.181308851171368,1.1813154729312005,,,,,,,,,,7.640683070264664e-05,-9.866884582564349e-05,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-09-14,1.18362,1.1888,1.18321,1.18643,37436,,,1.1826215644634117,1.181774410155789,1.181498134612229,,,,,,,,,,0.00047360746392666186,1.5786416124817575e-05,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-15,1.18648,1.19004,1.18393,1.18462,38904,,,1.1830656612493202,1.1820331001416262,1.1816096298046497,,,,,,,,,,0.0006350198407953922,0.0001396331010589325,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-16,1.18465,1.18826,1.17873,1.18155,53041,,,1.1827288476383602,1.181989181946933,1.1816075001687694,,,,,,,,,,0.0005093455509825873,0.00021357559104366348,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-17,1.18146,1.18523,1.17374,1.18476,58356,,,1.1831802148298358,1.1822410744972118,1.181720089448456,,,,,,,,,,0.0006611466566737167,0.00030308980416967414,,,,NONE,1,1,TREND_UP,NORMAL_VOL
2020-09-18,1.18476,1.18703,1.18258,1.18413,45923,,,1.1833912782009834,1.1824127949974652,1.18180615768244,,,,,,,,,,0.0007222883017972137,0.0003869295036951821,,,,NONE,0,0,TREND_UP,NORMAL_VOL
