time,open,high,low,close,volume,return_next,body_pct,range_pct,upper_wick_pct,lower_wick_pct,close_position,atr14,atr_pct,atr_slope,atr_percentile_252,rsi14,rsi_slope,ema20,ema50,ema200,ema20_50_state,ema50_200_state,macd,macd_signal,macd_hist,adx14,bb_width,donchian_high_20,donchian_low_20,prev_low_sweep,prev_high_sweep,breakout_up,breakout_down,trend_regime,volatility_regime,market_physics_energy,market_entropy_proxy,hour,weekday,weekday_num,month,session
2015-06-19 00:00:00+00:00,1202.07,1204.11,1198.28,1200.19,59800,-0.01200643231488352,0.0015639688204512898,0.004849967140016744,0.001697072549851476,0.0015889257697139782,0.32761578044598727,,0.0,0.0,0.5,50.0,0.0,1200.19,1200.19,1200.19,0,0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,RANGE,NORMAL_VOL,20.105820105820104,0.6552315608919745,0,Friday,4,6,ASIA
2015-06-22 00:00:00+00:00,1200.69,1200.88,1182.1,1185.78,57493,-0.0062068849196308395,0.012417859730654941,0.015641006421307915,0.0001582423439855871,0.003064904346667386,0.1959531416400439,,0.0,0.0,0.5,50.0,0.0,1198.817619047619,1199.6249019607844,1200.046616915423,0,0,-1.149515669515722,-0.22990313390314443,-0.9196125356125776,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.3919062832800878,0,Monday,0,6,ASIA
2015-06-23 00:00:00+00:00,1185.66,1188.02,1176.14,1178.42,54363,-0.002842789497802256,0.006106303662095381,0.010019735843327666,0.001990452574937081,0.0019229796062952048,0.19191919191919155,,0.0,0.0,0.5,50.0,0.0,1196.8749886621315,1198.7933371780086,1199.8314266973593,0,0,-2.624155972760036,-0.7087537016745228,-1.9154022710855134,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.3838383838383831,0,Tuesday,1,6,ASIA
2015-06-24 00:00:00+00:00,1178.51,1180.22,1169.82,1175.07,50909,-0.001982860595538982,0.002918940017479745,0.008824702378427075,0.001450984717991393,0.004454777642955936,0.5048076923076878,,0.0,0.0,0.5,50.0,0.0,1194.7983230752618,1197.8630102298514,1199.5850443421618,0,0,-4.0168324955552634,-1.370369460450671,-2.6464630351045924,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.9903846153846243,0,Wednesday,2,6,ASIA
2015-06-25 00:00:00+00:00,1174.88,1178.05,1171.54,1172.74,52058,0.0020805975749100813,0.0018214626174588894,0.005540991420400373,0.0026981478959552,0.001021380906986284,0.1843317972350303,,0.0,0.0,0.5,50.0,0.0,1192.6975304014272,1196.8777941424064,1199.3179294730855,0,0,-5.248053902354286,-2.145906348831394,-3.102147553522892,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.3686635944700606,0,Thursday,3,6,ASIA
2015-06-26 00:00:00+00:00,1173.71,1178.57,1168.5,1175.18,64773,0.003522864582446772,0.0012524388477562832,0.008579632106738407,0.0028882773427847362,0.004438915916197388,0.6633565044687295,,0.0,0.0,0.5,50.0,0.0,1191.0291941727198,1196.026900254469,1199.0777510703683,0,0,-5.9582353019563925,-2.908372139456394,-3.0498631624999986,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.673286991062541,0,Friday,4,6,ASIA
2015-06-29 00:00:00+00:00,1186.25,1187.9,1173.76,1179.32,99179,-0.006351117593189293,0.005841938883034827,0.011919915700737704,0.0013909378292940703,0.0046870389884088055,0.3932107496463866,,0.0,0.0,0.5,50.0,0.0,1189.914032822937,1195.37172769547,1198.8811565323547,0,0,-6.116488702762126,-3.5499954521175403,-2.566493250644586,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.7864214992927732,0,Monday,0,6,ASIA
2015-06-30 00:00:00+00:00,1180.04,1180.47,1166.69,1171.83,94345,-0.002858776443682043,0.006957391274872069,0.011677570251855847,0.00036439442730760286,0.004355784549676174,0.3730043541364211,,0.0,0.0,0.5,50.0,0.0,1188.1917439826573,1194.4485226878046,1198.6119907957145,0,0,-6.768265712478524,-4.193649504189737,-2.574616208288787,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.7460087082728422,0,Tuesday,1,6,ASIA
2015-07-01 00:00:00+00:00,1174.14,1175.0,1167.53,1168.48,56887,-0.0024390661372037936,0.00482054950857656,0.006362103326690196,0.0007324509854019963,0.0008091028327116403,0.1271753681392292,,0.0,0.0,0.5,50.0,0.0,1186.314435031928,1193.4301492490672,1198.3121699917772,0,0,-7.469022449863587,-4.848724093324507,-2.62029835653908,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.2543507362784584,0,Wednesday,2,7,ASIA
2015-07-02 00:00:00+00:00,1168.35,1169.51,1155.98,1165.63,59037,0.0025308202431302274,0.002328069499721659,0.011580433945307462,0.000992853168999086,0.008259511276586718,0.7132298595713311,,0.0,0.0,0.5,50.0,0.0,1184.344488838411,1192.3399473177312,1197.9869742704661,0,0,-8.160281746106875,-5.511035623880981,-2.649246122225894,0.0,0.0,,,0,0,0,0,TREND_DOWN,NORMAL_VOL,20.105820105820104,0.5735402808573378,0,Thursday,3,7,ASIA
