classification,path,exists,references_total,reason
CONNECTED_SUPPORT,"app/p7_adapters/__init__.py",True,95,"referenced by app code: 94"
CONNECTED_SUPPORT,"app/p7_adapters/hierarchical_contracts.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p7_adapters/hierarchical_planner_adapter.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p7_adapters/oversight_contracts.py",True,2,"referenced by app code: 1"
LEGACY_REVIEW,"app/p7_adapters/oversight_shadow_adapter.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/p8_shadow/",True,12,"referenced by app code: 7"
CONNECTED_SUPPORT,"app/p8_shadow/__init__.py",True,103,"referenced by app code: 98"
CONNECTED_SUPPORT,"app/p8_shadow/diff_engine.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p8_shadow/feature_flags.py",True,8,"referenced by app code: 5"
CONNECTED_SUPPORT,"app/p8_shadow/planner_active_policy.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p8_shadow/planner_consumption_contract.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p8_shadow/planner_sandbox.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p8_shadow/real_planner.py",True,5,"referenced by app code: 4"
LEGACY_REVIEW,"app/p8_shadow/shadow_hooks.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/p8_shadow/telemetry.py",True,20,"referenced by app code: 13"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/",True,5,"referenced by app code: 4"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/__init__.py",True,97,"referenced by app code: 96"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/consumption_gate.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/context_bridge.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/observability.py",True,2,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/parity.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/p9_runtime_consumption/planner_injection.py",True,2,"referenced by app code: 1"
DANGEROUS_TO_TOUCH,"app/retrieval/semantic_provider.py",True,6,"runtime/router/provider/forensic marker"
ACTIVE_CORE,"app/runtime/automotive_domain_guard.py",True,1,"matches cognition/runtime core marker"
CONNECTED_SUPPORT,"app/runtime/automotive_execution_bias_guard.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/runtime/automotive_part_purchase_guard.py",True,2,"referenced by app code: 1"
LEGACY_REVIEW,"app/runtime/capability_orchestrator.py",True,3,"referenced by tests only: 3"
LEGACY_REVIEW,"app/runtime/capability_reconstruction_planner.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/capability_recovery_bridge.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/capability_usage_ledger.py",True,1,"referenced by tests only: 1"
DANGEROUS_TO_TOUCH,"app/runtime/cognitive_pipeline.py",True,15,"runtime/router/provider/forensic marker"
LEGACY_REVIEW,"app/runtime/drive_batch_processor.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/runtime/drive_capability_absorption.py",True,2,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/runtime/drive_processed_queue.py",True,2,"referenced by app code: 1"
ORPHAN_CANDIDATE,"app/runtime/fix11k_probe.py",True,0,"no references found"
CONNECTED_SUPPORT,"app/runtime/followup_unified_resolver.py",True,1,"referenced by app code: 1"
DANGEROUS_TO_TOUCH,"app/runtime/forensic_bootstrap.py",True,1,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"app/runtime/forensic_trace.py",True,3,"runtime/router/provider/forensic marker"
ACTIVE_CORE,"app/runtime/generic_topic_memory_engine.py",True,4,"matches cognition/runtime core marker"
LEGACY_REVIEW,"app/runtime/knowledge_extraction_engine.py",True,2,"referenced by tests only: 2"
CONNECTED_SUPPORT,"app/runtime/level_a_cognitive_shadow.py",True,1,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/runtime/level_b_dynamic_composer.py",True,1,"referenced by app code: 1"
CONNECTED_SUPPORT,"app/runtime/level_b_shadow_runtime.py",True,1,"referenced by app code: 1"
ACTIVE_CORE,"app/runtime/memory_adapter.py",True,4,"matches cognition/runtime core marker"
LEGACY_REVIEW,"app/runtime/memory_quarantine_manifest.json",True,1,"referenced by tests only: 1"
ACTIVE_CORE,"app/runtime/memory_store.py",True,10,"matches cognition/runtime core marker"
CONNECTED_SUPPORT,"app/runtime/mind_state_visible_context.py",True,3,"referenced by app code: 3"
ORPHAN_CANDIDATE,"app/runtime/p19_unified_pipeline.py",True,0,"no references found"
LEGACY_REVIEW,"app/runtime/p19p3_safe_runtime_hook.py",True,1,"referenced by tests only: 1"
