time,open,high,low,close,tick_volume
2025-08-25 03:00:00,1.38287,1.38395,1.38287,1.38347,1354
2025-08-25 04:00:00,1.38348,1.38427,1.38313,1.38414,1252
2025-08-25 05:00:00,1.38412,1.38422,1.38367,1.3838,957
2025-08-25 06:00:00,1.3838,1.38387,1.38314,1.38324,830
2025-08-25 07:00:00,1.38323,1.38345,1.3831,1.38338,693
2025-08-25 08:00:00,1.38338,1.38368,1.38325,1.38358,633
2025-08-25 09:00:00,1.38358,1.38358,1.38203,1.38242,1506
2025-08-25 10:00:00,1.38242,1.3836,1.38239,1.3835,1428
2025-08-25 11:00:00,1.3835,1.38358,1.38225,1.38265,1435
2025-08-25 12:00:00,1.38262,1.38317,1.38251,1.38305,1112
2025-08-25 13:00:00,1.38303,1.38353,1.38285,1.38342,1251
2025-08-25 14:00:00,1.38341,1.38344,1.38223,1.38228,1174
2025-08-25 15:00:00,1.38228,1.3825,1.38163,1.38215,1749
2025-08-25 16:00:00,1.38214,1.3828,1.3816,1.38212,2496
2025-08-25 17:00:00,1.38212,1.38284,1.38194,1.38231,3124
2025-08-25 18:00:00,1.38231,1.3834,1.38229,1.38298,2455
2025-08-25 19:00:00,1.38297,1.38374,1.38295,1.3833,1749
2025-08-25 20:00:00,1.38329,1.38422,1.38317,1.38414,1403
2025-08-25 21:00:00,1.38415,1.38541,1.38397,1.38515,1777
2025-08-25 22:00:00,1.38515,1.38627,1.38512,1.38616,1695
2025-08-25 23:00:00,1.38616,1.38617,1.38532,1.38586,780
2025-08-26 00:00:00,1.38538,1.3858,1.38522,1.38544,373
2025-08-26 01:00:00,1.38557,1.38574,1.38542,1.3855,388
2025-08-26 02:00:00,1.3855,1.38599,1.38538,1.3858,430
2025-08-26 03:00:00,1.3858,1.38629,1.38407,1.38439,3276
2025-08-26 04:00:00,1.3844,1.38575,1.38437,1.38551,1905
2025-08-26 05:00:00,1.38551,1.38552,1.38466,1.38488,1043
2025-08-26 06:00:00,1.38488,1.38579,1.38488,1.3857,1333
2025-08-26 07:00:00,1.38572,1.3859,1.38533,1.38534,814
2025-08-26 08:00:00,1.38534,1.38549,1.38494,1.38503,900
2025-08-26 09:00:00,1.38503,1.38647,1.38497,1.38569,2216
2025-08-26 10:00:00,1.38569,1.38669,1.38498,1.38548,2582
2025-08-26 11:00:00,1.38549,1.38632,1.38541,1.38568,2098
2025-08-26 12:00:00,1.38569,1.38569,1.38463,1.38472,1573
2025-08-26 13:00:00,1.38471,1.38517,1.3845,1.38498,1298
2025-08-26 14:00:00,1.38498,1.38501,1.38397,1.38432,1496
2025-08-26 15:00:00,1.38432,1.38493,1.38392,1.38447,2195
2025-08-26 16:00:00,1.38447,1.38535,1.3842,1.38471,2858
2025-08-26 17:00:00,1.38473,1.38496,1.38258,1.38259,3337
2025-08-26 18:00:00,1.38258,1.38287,1.38213,1.38238,2482
2025-08-26 19:00:00,1.38236,1.38312,1.38231,1.38285,2343
2025-08-26 20:00:00,1.38285,1.3839,1.38282,1.38379,1541
2025-08-26 21:00:00,1.38379,1.38406,1.38275,1.38335,1681
2025-08-26 22:00:00,1.38336,1.38352,1.38283,1.38336,1604
2025-08-26 23:00:00,1.38336,1.38386,1.38305,1.38383,573
2025-08-27 00:00:00,1.38364,1.38375,1.38332,1.38334,492
2025-08-27 01:00:00,1.38345,1.38379,1.38331,1.38331,459
2025-08-27 02:00:00,1.38331,1.38349,1.38319,1.38339,361
2025-08-27 03:00:00,1.38339,1.38349,1.38288,1.38324,1050
2025-08-27 04:00:00,1.38322,1.38348,1.38272,1.38304,1710
2025-08-27 05:00:00,1.38304,1.38401,1.38302,1.38372,1063
2025-08-27 06:00:00,1.38371,1.384,1.38363,1.38393,779
2025-08-27 07:00:00,1.38393,1.38427,1.3839,1.3842,785
2025-08-27 08:00:00,1.3842,1.38441,1.38381,1.38398,735
2025-08-27 09:00:00,1.38398,1.38404,1.38332,1.38369,1243
2025-08-27 10:00:00,1.38369,1.38531,1.38363,1.38453,1767
2025-08-27 11:00:00,1.38455,1.38559,1.38453,1.38476,1763
2025-08-27 12:00:00,1.38476,1.38538,1.38464,1.3853,1299
2025-08-27 13:00:00,1.3853,1.38534,1.38476,1.38516,1354
2025-08-27 14:00:00,1.38515,1.38552,1.38439,1.38511,1495
2025-08-27 15:00:00,1.38512,1.38536,1.38422,1.38499,2119
2025-08-27 16:00:00,1.38498,1.38535,1.3843,1.38515,2846
2025-08-27 17:00:00,1.38515,1.38567,1.38277,1.3831,3137
2025-08-27 18:00:00,1.38309,1.38321,1.38203,1.38249,3044
2025-08-27 19:00:00,1.38249,1.38249,1.37969,1.3797,2131
2025-08-27 20:00:00,1.3797,1.38004,1.37818,1.37839,2343
2025-08-27 21:00:00,1.37839,1.37951,1.37835,1.37949,2044
2025-08-27 22:00:00,1.37949,1.37961,1.3785,1.37872,1564
2025-08-27 23:00:00,1.37872,1.37914,1.37824,1.37912,945
2025-08-28 00:00:00,1.37842,1.37883,1.37839,1.3787,272
2025-08-28 01:00:00,1.3787,1.37889,1.37823,1.37834,510
2025-08-28 02:00:00,1.37834,1.37837,1.37799,1.37804,608
2025-08-28 03:00:00,1.37804,1.37823,1.3778,1.37812,1244
2025-08-28 04:00:00,1.37811,1.37822,1.37772,1.37799,1173
2025-08-28 05:00:00,1.37797,1.37804,1.37714,1.37721,1287
2025-08-28 06:00:00,1.3772,1.37773,1.37684,1.37764,1054
2025-08-28 07:00:00,1.37764,1.3781,1.37764,1.37806,837
2025-08-28 08:00:00,1.37806,1.3787,1.37804,1.37819,885
2025-08-28 09:00:00,1.37818,1.37843,1.37765,1.37823,1635
2025-08-28 10:00:00,1.37823,1.37865,1.37764,1.37775,1826
2025-08-28 11:00:00,1.37775,1.37842,1.37738,1.37752,1982
2025-08-28 12:00:00,1.37751,1.37755,1.37669,1.37703,1820
2025-08-28 13:00:00,1.37703,1.3773,1.37604,1.37611,1748
2025-08-28 14:00:00,1.37612,1.37662,1.37594,1.37634,1578
2025-08-28 15:00:00,1.37634,1.37669,1.37516,1.37596,3267
2025-08-28 16:00:00,1.37596,1.37842,1.37586,1.37646,4251
2025-08-28 17:00:00,1.3764,1.3772,1.37545,1.37647,3852
2025-08-28 18:00:00,1.37647,1.37671,1.37497,1.37508,2790
2025-08-28 19:00:00,1.37504,1.37522,1.3745,1.37468,1863
2025-08-28 20:00:00,1.37468,1.37494,1.37421,1.37453,1626
2025-08-28 21:00:00,1.37453,1.37471,1.37403,1.37453,1416
2025-08-28 22:00:00,1.37453,1.37535,1.37446,1.37531,1440
2025-08-28 23:00:00,1.37531,1.37554,1.37457,1.37484,757
2025-08-29 00:00:00,1.3741,1.37505,1.37406,1.37503,531
2025-08-29 01:00:00,1.375,1.3758,1.37493,1.37503,667
2025-08-29 02:00:00,1.37503,1.37515,1.37485,1.3751,493
2025-08-29 03:00:00,1.37509,1.37509,1.37453,1.37454,1232
2025-08-29 04:00:00,1.37453,1.37542,1.3744,1.37496,1846
2025-08-29 05:00:00,1.37495,1.37538,1.37472,1.37532,1534
2025-08-29 06:00:00,1.37532,1.37559,1.37519,1.37534,896
2025-08-29 07:00:00,1.37533,1.3755,1.37503,1.37518,763
2025-08-29 08:00:00,1.37518,1.37549,1.37506,1.37524,803
2025-08-29 09:00:00,1.37522,1.37562,1.37487,1.37538,1388
2025-08-29 10:00:00,1.37539,1.37545,1.37392,1.37398,1648
2025-08-29 11:00:00,1.37398,1.37438,1.37363,1.37396,1689
2025-08-29 12:00:00,1.37396,1.37553,1.37387,1.37546,1442
2025-08-29 13:00:00,1.37547,1.37563,1.37487,1.37493,1301
2025-08-29 14:00:00,1.37492,1.37524,1.37471,1.37507,1457
2025-08-29 15:00:00,1.37508,1.3778,1.37483,1.37695,3157
2025-08-29 16:00:00,1.37694,1.37781,1.37547,1.37611,3514
2025-08-29 17:00:00,1.3761,1.3761,1.37267,1.37283,4767
2025-08-29 18:00:00,1.37286,1.37392,1.3726,1.37275,3246
2025-08-29 19:00:00,1.37274,1.37345,1.37256,1.37306,2001
2025-08-29 20:00:00,1.37306,1.37357,1.37306,1.37326,1521
2025-08-29 21:00:00,1.37321,1.37363,1.37265,1.37269,1426
2025-08-29 22:00:00,1.3727,1.37362,1.37266,1.37326,1521
2025-08-29 23:00:00,1.37328,1.37455,1.37303,1.37367,1283
2025-09-01 00:00:00,1.37248,1.37354,1.37238,1.37347,509
2025-09-01 01:00:00,1.37347,1.37421,1.37337,1.37397,433
2025-09-01 02:00:00,1.37397,1.37402,1.37373,1.37381,542
2025-09-01 03:00:00,1.37381,1.37383,1.37338,1.3735,947
2025-09-01 04:00:00,1.3735,1.37438,1.37345,1.37388,1474
2025-09-01 05:00:00,1.37388,1.37401,1.37318,1.37327,1633
2025-09-01 06:00:00,1.37326,1.37369,1.37319,1.37349,1111
2025-09-01 07:00:00,1.37349,1.37387,1.37345,1.37373,708
2025-09-01 08:00:00,1.37373,1.37376,1.37331,1.37363,887
