time,open,high,low,close,tick_volume,spread,real_volume
2026-06-02 05:54:00,0.78668,0.78676,0.78668,0.78671,21,9,0
2026-06-02 05:56:00,0.7867,0.78674,0.78668,0.7867,36,9,0
2026-06-02 05:58:00,0.78669,0.7867,0.78666,0.78669,41,9,0
2026-06-02 06:00:00,0.78669,0.78669,0.78656,0.78658,66,9,0
2026-06-02 06:02:00,0.78658,0.78659,0.78652,0.78659,31,9,0
2026-06-02 06:04:00,0.78659,0.78662,0.78656,0.78658,35,9,0
2026-06-02 06:06:00,0.78658,0.78661,0.78653,0.78656,50,9,0
2026-06-02 06:08:00,0.78656,0.78662,0.78653,0.78659,49,9,0
2026-06-02 06:10:00,0.78659,0.78663,0.78656,0.78656,31,9,0
2026-06-02 06:12:00,0.78656,0.78658,0.78648,0.78648,50,9,0
2026-06-02 06:14:00,0.78648,0.78653,0.78644,0.78652,51,9,0
2026-06-02 06:16:00,0.78652,0.78652,0.78646,0.78646,22,9,0
2026-06-02 06:18:00,0.78646,0.78656,0.78641,0.78653,65,9,0
2026-06-02 06:20:00,0.78653,0.78658,0.78653,0.78658,32,9,0
2026-06-02 06:22:00,0.78658,0.78658,0.78655,0.78655,39,9,0
2026-06-02 06:24:00,0.78655,0.78657,0.7865,0.78651,49,9,0
2026-06-02 06:26:00,0.78651,0.78653,0.78646,0.78651,43,9,0
2026-06-02 06:28:00,0.78651,0.78651,0.78647,0.78648,73,9,0
2026-06-02 06:30:00,0.78648,0.78651,0.78645,0.78645,40,9,0
2026-06-02 06:32:00,0.78645,0.78649,0.7864,0.78647,55,9,0
2026-06-02 06:34:00,0.78647,0.78655,0.78647,0.78649,27,9,0
2026-06-02 06:36:00,0.78649,0.78653,0.78646,0.78647,38,8,0
2026-06-02 06:38:00,0.78647,0.78648,0.78642,0.78644,40,9,0
2026-06-02 06:40:00,0.78644,0.78646,0.78639,0.7864,53,9,0
2026-06-02 06:42:00,0.7864,0.78644,0.78639,0.78644,22,9,0
2026-06-02 06:44:00,0.78644,0.78644,0.7864,0.7864,10,9,0
2026-06-02 06:46:00,0.7864,0.78641,0.78631,0.78632,32,9,0
2026-06-02 06:48:00,0.78632,0.78633,0.78627,0.7863,34,9,0
2026-06-02 06:50:00,0.7863,0.78632,0.7863,0.78631,37,9,0
2026-06-02 06:52:00,0.78631,0.78642,0.7863,0.78642,108,9,0
2026-06-02 06:54:00,0.78642,0.78645,0.78641,0.78642,32,9,0
2026-06-02 06:56:00,0.78642,0.78647,0.78641,0.78646,51,9,0
2026-06-02 06:58:00,0.78645,0.78647,0.78642,0.78646,35,9,0
2026-06-02 07:00:00,0.78646,0.78646,0.78632,0.78633,52,9,0
2026-06-02 07:02:00,0.78633,0.78635,0.78626,0.78626,20,9,0
2026-06-02 07:04:00,0.78626,0.78633,0.78625,0.78632,16,9,0
2026-06-02 07:06:00,0.78632,0.78633,0.78629,0.7863,34,9,0
2026-06-02 07:08:00,0.7863,0.78633,0.7863,0.78632,22,9,0
2026-06-02 07:10:00,0.78632,0.78634,0.7863,0.78633,28,9,0
