"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status","approved"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=144","54","2,0712","37,04","0,2158","3,521","0,84517","BACKTESTED","False"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=144","54","2,0712","37,04","0,2158","3,521","0,84517","BACKTESTED","False"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=144","40","1,8199","42,5","0,04888","2,4622","0,14794","BACKTESTED","False"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=144","40","1,8199","42,5","0,04888","2,4622","0,14794","BACKTESTED","False"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=144","44","1,8034","38,64","0,2602","2,8642","0,68694","BACKTESTED","False"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=144","44","1,8034","38,64","0,2602","2,8642","0,68694","BACKTESTED","False"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=89","82","1,7386","37,8","20,107","2,8602","66,006","BACKTESTED","False"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","82","1,7386","37,8","20,107","2,8602","66,006","BACKTESTED","False"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=144","66","1,7147","39,39","0,02377","2,638","0,06288","BACKTESTED","False"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=144","66","1,7147","39,39","0,02377","2,638","0,06288","BACKTESTED","False"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","106","1,6374","43,4","0,00909","2,1358","0,03523","BACKTESTED","False"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","106","1,6374","43,4","0,00909","2,1358","0,03523","BACKTESTED","False"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=144","62","1,6017","30,65","0,23492","3,6249","0,61057","BACKTESTED","False"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=144","62","1,6017","30,65","0,23492","3,6249","0,61057","BACKTESTED","False"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=34","158","1,5934","39,24","4,899","2,4672","19,911","BACKTESTED","False"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=34","158","1,5934","39,24","4,899","2,4672","19,911","BACKTESTED","False"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=144","60","1,5825","36,67","0,03223","2,7335","0,05438","BACKTESTED","False"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=144","60","1,5825","36,67","0,03223","2,7335","0,05438","BACKTESTED","False"
"USDJPY","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=89","67","1,562","38,81","21,737","2,4631","28,827","BACKTESTED","False"
"USDJPY","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=89","67","1,562","38,81","21,737","2,4631","28,827","BACKTESTED","False"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=34","160","1,5466","36,88","4,863","2,6476","18,86","BACKTESTED","False"
