"symbol","timeframe","rows","source","dataset_file","status"
"GBPUSD","M5","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_GBPUSD_M5.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\GBPUSD\mind_dataset_GBPUSD_M5.csv","READY_BACKTEST"
"USDCHF","H1","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDCHF_H1.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDCHF\mind_dataset_USDCHF_H1.csv","READY_BACKTEST"
"USDCHF","H4","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDCHF_H4.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDCHF\mind_dataset_USDCHF_H4.csv","READY_BACKTEST"
"USDCHF","M15","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDCHF_M15.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDCHF\mind_dataset_USDCHF_M15.csv","READY_BACKTEST"
"USDCHF","M30","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDCHF_M30.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDCHF\mind_dataset_USDCHF_M30.csv","READY_BACKTEST"
"USDCHF","M5","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDCHF_M5.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDCHF\mind_dataset_USDCHF_M5.csv","READY_BACKTEST"
"USDJPY","D1","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_D1.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_D1.csv","READY_BACKTEST"
"USDJPY","H1","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_H1.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_H1.csv","READY_BACKTEST"
"USDJPY","H4","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_H4.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_H4.csv","READY_BACKTEST"
"USDJPY","M15","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_M15.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_M15.csv","READY_BACKTEST"
"USDJPY","M30","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_M30.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_M30.csv","READY_BACKTEST"
"USDJPY","M5","5001","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\Common\Files\mind_dataset_USDJPY_M5.csv","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P2264B_P2266_FULL_DATA_BACKTEST_PIPELINE_20260618_162142\datasets_ready\USDJPY\mind_dataset_USDJPY_M5.csv","READY_BACKTEST"
