"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","153","12493","4641","14252","2173","2103"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","153","12493","4641","14252","2173","2103"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","12493","4641","14252","2173","2103"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","12493","4641","14252","2173","2103"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","12493","4641","14252","2173","2103"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","12493","4641","14252","2173","2103"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","12493","4641","14252","2173","2103"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","12493","4641","14252","2173","2103"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=22","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.5","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=18","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=18","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=22","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.0","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.5","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.0","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=21;min=20","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=21;min=20","161","12264","4099","17652","4486","4865"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","161","12264","4099","17652","4486","4865"
