trade_id,entry_reason,stop_reason,target_reason,exit_reason
"USDCAD_H1_EMA_CROSS_21,55_163_180","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001299,target calculado por confluência: 2x ATR (1.377453) + RR 2:1 baseado no swing/stop (1.37285),saída por sinal oposto: novo cruzamento BUY em 2025-09-09 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_180_236","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.00129,target calculado por confluência: 2x ATR (1.38608) + RR 2:1 baseado no swing/stop (1.3918),saída por sinal oposto: novo cruzamento SELL em 2025-09-12 02:00:00
"USDCAD_H1_EMA_CROSS_21,55_236_339","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.00127,target calculado por confluência: 2x ATR (1.38097) + RR 2:1 baseado no swing/stop (1.37231),saída por sinal oposto: novo cruzamento BUY em 2025-09-18 09:00:00
"USDCAD_H1_EMA_CROSS_21,55_339_528","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001455,target calculado por confluência: 2x ATR (1.38243) + RR 2:1 baseado no swing/stop (1.3932),saída por sinal oposto: novo cruzamento SELL em 2025-09-30 06:00:00
"USDCAD_H1_EMA_CROSS_21,55_528_548","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001059,target calculado por confluência: 2x ATR (1.389403) + RR 2:1 baseado no swing/stop (1.38666),saída por sinal oposto: novo cruzamento BUY em 2025-10-01 02:00:00
"USDCAD_H1_EMA_CROSS_21,55_548_642","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001146,target calculado por confluência: 2x ATR (1.394701) + RR 2:1 baseado no swing/stop (1.39797),saída por sinal oposto: novo cruzamento SELL em 2025-10-07 00:00:00
"USDCAD_H1_EMA_CROSS_21,55_642_654","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000827,target calculado por confluência: 2x ATR (1.392306) + RR 2:1 baseado no swing/stop (1.38834),saída por sinal oposto: novo cruzamento BUY em 2025-10-07 12:00:00
"USDCAD_H1_EMA_CROSS_21,55_654_659","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000614,target calculado por confluência: 2x ATR (1.396679) + RR 2:1 baseado no swing/stop (1.39853),saída por sinal oposto: novo cruzamento SELL em 2025-10-07 17:00:00
"USDCAD_H1_EMA_CROSS_21,55_659_664","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000741,target calculado por confluência: 2x ATR (1.393239) + RR 2:1 baseado no swing/stop (1.39164),saída por sinal oposto: novo cruzamento BUY em 2025-10-07 22:00:00
"USDCAD_H1_EMA_CROSS_21,55_664_665","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000936,target calculado por confluência: 2x ATR (1.397333) + RR 2:1 baseado no swing/stop (1.39864),saída por sinal oposto: novo cruzamento SELL em 2025-10-07 23:00:00
"USDCAD_H1_EMA_CROSS_21,55_665_669","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000952,target calculado por confluência: 2x ATR (1.392846) + RR 2:1 baseado no swing/stop (1.39173),saída por sinal oposto: novo cruzamento BUY em 2025-10-08 03:00:00
"USDCAD_H1_EMA_CROSS_21,55_669_682","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000929,target calculado por confluência: 2x ATR (1.397499) + RR 2:1 baseado no swing/stop (1.39918),saída por sinal oposto: novo cruzamento SELL em 2025-10-08 16:00:00
"USDCAD_H1_EMA_CROSS_21,55_682_685","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.00081,target calculado por confluência: 2x ATR (1.39312) + RR 2:1 baseado no swing/stop (1.39006),saída por sinal oposto: novo cruzamento BUY em 2025-10-08 19:00:00
"USDCAD_H1_EMA_CROSS_21,55_685_694","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000843,target calculado por confluência: 2x ATR (1.397486) + RR 2:1 baseado no swing/stop (1.40104),saída por sinal oposto: novo cruzamento SELL em 2025-10-09 04:00:00
"USDCAD_H1_EMA_CROSS_21,55_694_707","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000889,target calculado por confluência: 2x ATR (1.392603) + RR 2:1 baseado no swing/stop (1.38898),saída por sinal oposto: novo cruzamento BUY em 2025-10-09 17:00:00
"USDCAD_H1_EMA_CROSS_21,55_707_855","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.00119,target calculado por confluência: 2x ATR (1.40244) + RR 2:1 baseado no swing/stop (1.41348),saída por sinal oposto: novo cruzamento SELL em 2025-10-17 21:00:00
"USDCAD_H1_EMA_CROSS_21,55_855_887","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001291,target calculado por confluência: 2x ATR (1.399067) + RR 2:1 baseado no swing/stop (1.39151),saída por sinal oposto: novo cruzamento BUY em 2025-10-21 05:00:00
"USDCAD_H1_EMA_CROSS_21,55_887_902","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.00081,target calculado por confluência: 2x ATR (1.40656) + RR 2:1 baseado no swing/stop (1.4119),saída por sinal oposto: novo cruzamento SELL em 2025-10-21 20:00:00
"USDCAD_H1_EMA_CROSS_21,55_902_966","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001276,target calculado por confluência: 2x ATR (1.399029) + RR 2:1 baseado no swing/stop (1.3916),saída por sinal oposto: novo cruzamento BUY em 2025-10-24 13:00:00
"USDCAD_H1_EMA_CROSS_21,55_966_977","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.00119,target calculado por confluência: 2x ATR (1.40473) + RR 2:1 baseado no swing/stop (1.41261),saída por sinal oposto: novo cruzamento SELL em 2025-10-27 00:00:00
"USDCAD_H1_EMA_CROSS_21,55_977_1064","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001313,target calculado por confluência: 2x ATR (1.396424) + RR 2:1 baseado no swing/stop (1.38937),saída por sinal oposto: novo cruzamento BUY em 2025-10-30 15:00:00
"USDCAD_H1_EMA_CROSS_21,55_1064_1210","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001241,target calculado por confluência: 2x ATR (1.402253) + RR 2:1 baseado no swing/stop (1.42079),saída por sinal oposto: novo cruzamento SELL em 2025-11-07 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_1210_1312","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001264,target calculado por confluência: 2x ATR (1.405123) + RR 2:1 baseado no swing/stop (1.39771),saída por sinal oposto: novo cruzamento BUY em 2025-11-14 00:00:00
"USDCAD_H1_EMA_CROSS_21,55_1312_1378","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001044,target calculado por confluência: 2x ATR (1.405009) + RR 2:1 baseado no swing/stop (1.41174),saída por sinal oposto: novo cruzamento SELL em 2025-11-18 18:00:00
