"trade_id","edge_id","symbol","timeframe","strategy","result","pnl","regime","quality","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_1876_1950","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00148","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_1950_2055","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00806","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2055_2382","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.01995","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2382_2607","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.02891","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2607_2722","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00491","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2722_2808","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00567","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2808_2813","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00328","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2813_2816","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00266","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2816_2970","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00727","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2970_2987","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00334","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_2987_3034","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00042","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3034_3101","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00215","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3101_3146","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00358","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
