"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=18","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.5","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","93","1,4158","44,09","1,7957","30,234","27,565","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=22","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=21;min=20","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=21;min=20","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.5","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=18","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=22","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.5","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=18","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=21;min=20","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=22","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=22","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.0","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.5","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=21;min=20","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","SMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=18","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.0","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","ADX_FILTER","adx=14;min=18","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H1","EMA_CROSS","fast=21;slow=89","ATR_FILTER","atr=14;min_mult=1.5","60","1,3599","41,67","1,9039","0,04283","0,04978","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.0","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.5","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=18","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.0","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.5","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=18","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
"EURUSD","H4","SMA_CROSS","fast=21;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","89","1,3242","47,19","1,4503","0,0769","0,11019","False"
