symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
JP225,M2,SMA_SCALP,"9,21",520,1.1192,37.88,1.8237,4253.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,SMA_SCALP,"13,34",315,1.1187,39.05,1.7099,165.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,EMA_SCALP,"13,34",292,1.1181,30.14,2.592,4374.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,EMA_SCALP,"13,34",300,1.1091,26.67,3.0361,196.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M2,EMA_SCALP,"8,21",473,1.1087,28.12,2.8176,0.01358,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,EMA_SCALP,"9,21",456,1.1059,28.29,2.7947,4680.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,EMA_SCALP,"13,34",283,1.1024,29.33,2.6564,1160.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,SMA_SCALP,"13,34",326,1.1009,38.96,1.725,989.1,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,SMA_SCALP,"9,21",520,1.09,36.35,1.9032,4440.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
USDJPY,M2,SMA_SCALP,"8,21",555,1.0885,36.04,1.8831,0.794,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCHF,M2,EMA_SCALP,"8,21",462,1.088,31.17,2.3801,0.00735,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,EMA_SCALP,"9,21",452,1.0856,27.43,2.8716,185.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,SMA_SCALP,"5,13",874,1.0843,36.38,1.8958,199.92,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M5,EMA_SCALP,"9,21",434,1.0838,29.03,2.6493,200.35,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
EURUSD,M2,EMA_SCALP,"13,34",311,1.081,25.4,3.1471,0.006,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,SMA_SCALP,"8,21",518,1.0795,37.07,1.8161,2931.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
