"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","150","1,4571","48","1,5785","0,01795","0,03843","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","1,4343","43,14","1,8255","0,0125","0,0235","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.5","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.5","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ATR_FILTER","atr=14;min_mult=1.0","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=21;min=20","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=22","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=18","93","1,4158","44,09","1,7957","30,234","27,565","False"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","ADX_FILTER","adx=14;min=18","93","1,4158","44,09","1,7957","30,234","27,565","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.5","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=21;min=20","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
"GBPUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=22","96","1,4139","41,67","1,9795","0,01387","0,03747","False"
