"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","3,5532","65,22","1,8951","0,7216","59799"
"USDJPY","H4","SMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","3,5532","65,22","1,8951","0,7216","59799"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","SESSION_FILTER","session=LONDON_NY","46","3,5532","65,22","1,8951","0,7216","59799"
"USDJPY","H4","EMA_CROSS","fast=21;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","46","3,5532","65,22","1,8951","0,7216","59799"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","2,1792","47,67","2,3918","0,2224","10922"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","2,1792","47,67","2,3918","0,2224","10922"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=LONDON_NY","86","2,1792","47,67","2,3918","0,2224","10922"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","86","2,1792","47,67","2,3918","0,2224","10922"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","67","1,5047","50,75","1,4162","0,2006","2739"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","67","1,5047","50,75","1,4162","0,2006","2739"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","67","1,5047","50,75","1,4162","0,2006","2739"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","67","1,5047","50,75","1,4162","0,2006","2739"
