symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
USDCAD,H1,EMA_CROSS,"21,55",60,2.7773,40.0,4.166,0.02347,0.15109,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
XAUUSD,M30,SMA_CROSS,"20,50",104,2.0439,41.35,2.8994,589.24,2202.23,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
XAUUSD,H4,SMA_CROSS,"9,34",95,2.0094,43.16,2.6465,218.82,2061.86,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H4_raw.csv
EURUSD,D1,EMA_CROSS,"9,34",43,1.8499,44.19,2.3367,0.05401,0.22587,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
USDCHF,M15,SMA_CROSS,"13,55",111,1.7388,43.24,2.2822,0.00909,0.04169,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv
NZDUSD,M15,SMA_CROSS,"13,55",96,1.6936,42.71,2.2306,0.00976,0.03982,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
USDJPY,D1,EMA_CROSS,"9,34",45,1.6332,40.0,2.4498,9.788,30.831,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv
GER40,H4,SMA_CROSS,"13,55",70,1.6001,40.0,2.4001,2778.1,5795.1,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv
XAUUSD,H1,SMA_CROSS,"9,34",177,1.5648,40.68,2.2821,1137.39,2191.73,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
USDCAD,H4,SMA_CROSS,"9,34",92,1.5405,46.74,1.7554,0.08592,0.14134,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
JP225,M15,SMA_CROSS,"9,34",165,1.4712,41.82,2.0469,4513.0,13071.0,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M15_raw.csv
GBPUSD,M15,SMA_CROSS,"13,55",99,1.4712,43.43,1.916,0.01374,0.04264,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M15_raw.csv
AUDUSD,M15,SMA_CROSS,"9,34",165,1.4435,44.24,1.8192,0.01195,0.03816,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_AUDUSD_M15_raw.csv
USDJPY,D1,SMA_CROSS,"9,34",45,1.4388,46.67,1.6443,13.136,24.954,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv
GBPUSD,D1,SMA_CROSS,"9,34",49,1.3883,40.82,2.0131,0.09626,0.16136,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_D1_raw.csv
EURUSD,H1,SMA_CROSS,"9,34",172,1.381,40.7,2.0123,0.04828,0.08048,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_H1_raw.csv
EURUSD,M15,SMA_CROSS,"13,55",110,1.3502,48.18,1.4521,0.01511,0.02463,B,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M15_raw.csv
