time,edge_id,symbol,timeframe,action,status,reason,signal_id
2026-06-21T11:54:11.277795,"USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,SELL,PENDING_MT5_CONSUMPTION,PAPER_ONLY,cb5ca81e7745084d
2026-06-21T11:54:11.278794,"XAUUSD_D1_EMA_CROSS_9,34",XAUUSD,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.279797,"USDCAD_H1_EMA_CROSS_13,55",USDCAD,H1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.279797,"XAUUSD_M30_SMA_CROSS_20,50",XAUUSD,M30,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.280796,"EURUSD_D1_EMA_CROSS_9,34",EURUSD,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.280796,"NZDUSD_M15_EMA_CROSS_21,55",NZDUSD,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.281796,"USDCHF_M15_SMA_CROSS_13,55",USDCHF,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.282794,"NZDUSD_M15_SMA_CROSS_13,55",NZDUSD,M15,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.282794,"USDJPY_D1_EMA_CROSS_9,34",USDJPY,D1,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.302800,"GER40_H4_SMA_CROSS_13,55",GER40,H4,,BLOCKED,PENDING_ORDER_FILE,
2026-06-21T11:54:11.307807,"USDJPY_H1_SMA_CROSS_9,34",USDJPY,H1,,BLOCKED,PENDING_ORDER_FILE,
