symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
USDCHF,M15,EMA_CROSS,"21,55",75,1.2912,33.33,2.5824,0.01713,0.01604,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv
GBPUSD,M30,SMA_CROSS,"9,34",167,1.2899,41.32,1.832,0.04529,0.06551,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M30_raw.csv
USDCHF,M15,SMA_CROSS,"20,50",99,1.2892,43.43,1.679,0.01596,0.01985,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv
XAUUSD,H1,EMA_CROSS,"9,34",155,1.2849,26.45,3.5727,965.98,1158.82,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
GBPUSD,M15,EMA_CROSS,"13,55",101,1.2684,32.67,2.6136,0.02725,0.02589,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M15_raw.csv
AUDUSD,M15,SMA_CROSS,"13,55",110,1.2661,40.0,1.8991,0.01514,0.01958,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_AUDUSD_M15_raw.csv
US500,H4,EMA_CROSS,"9,34",101,1.2603,28.71,3.1291,878.4,891.48,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_H4_raw.csv
GER40,M15,EMA_CROSS,"21,55",78,1.26,32.05,2.6712,1257.3,1308.7,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M15_raw.csv
US100,M15,SMA_CROSS,"9,34",170,1.2532,34.71,2.3576,1835.4,2405.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M15_raw.csv
USDJPY,M30,SMA_CROSS,"20,50",107,1.2532,34.58,2.3709,3.129,5.059,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M30_raw.csv
XAUUSD,M30,EMA_CROSS,"9,34",176,1.2517,27.84,3.2443,844.17,869.62,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
EURUSD,D1,SMA_CROSS,"9,34",45,1.2477,44.44,1.5596,0.11155,0.09146,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
NZDUSD,M15,EMA_CROSS,"9,34",170,1.2469,26.47,3.4637,0.01237,0.02142,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
USDJPY,D1,SMA_CROSS,"20,50",33,1.2461,39.39,1.917,15.391,13.174,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv
USDCAD,M30,SMA_CROSS,"20,50",108,1.2398,36.11,2.1934,0.02609,0.02937,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M30_raw.csv
US500,H4,EMA_CROSS,"13,55",57,1.2344,33.33,2.4689,855.7,644.91,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_H4_raw.csv
EURUSD,D1,EMA_CROSS,"13,55",33,1.2337,27.27,3.2899,0.12893,0.06792,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv
US100,M30,EMA_CROSS,"13,55",101,1.231,32.67,2.5367,4299.8,2359.3,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M30_raw.csv
USDCHF,H1,SMA_CROSS,"9,34",175,1.2308,39.43,1.8908,0.05518,0.04751,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_H1_raw.csv
USDCAD,M15,EMA_CROSS,"9,34",166,1.2298,27.11,3.3069,0.02057,0.02158,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M15_raw.csv
JP225,H1,SMA_CROSS,"20,50",124,1.228,38.71,1.9444,7786.0,8437.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_H1_raw.csv
JP225,H4,SMA_CROSS,"9,34",99,1.2273,34.34,2.3463,14967.0,9596.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_H4_raw.csv
US100,M30,EMA_CROSS,"9,34",157,1.2261,29.3,2.9587,3314.0,2935.9,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M30_raw.csv
USDCHF,M30,SMA_CROSS,"9,34",167,1.2215,35.93,2.1783,0.02282,0.03273,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M30_raw.csv
NZDUSD,M30,EMA_CROSS,"9,34",150,1.2214,35.33,2.2354,0.04203,0.02961,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M30_raw.csv
AUDUSD,M15,EMA_CROSS,"13,55",103,1.2207,33.01,2.4413,0.01664,0.01555,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_AUDUSD_M15_raw.csv
US100,H1,EMA_CROSS,"21,55",77,1.2197,31.17,2.6934,5725.6,2538.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_H1_raw.csv
USDCAD,M15,SMA_CROSS,"9,34",176,1.2154,34.66,2.2912,0.01329,0.0214,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M15_raw.csv
USDCAD,M15,EMA_CROSS,"21,55",82,1.209,30.49,2.7566,0.01769,0.01531,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M15_raw.csv
USDJPY,M30,SMA_CROSS,"9,34",195,1.2057,32.82,2.4492,2.684,5.14,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M30_raw.csv
