time,open,high,low,close,volume
2015-06-19 00:00:00+00:00,1202.07,1204.11,1198.28,1200.19,59800
2015-06-22 00:00:00+00:00,1200.69,1200.88,1182.1,1185.78,57493
2015-06-23 00:00:00+00:00,1185.66,1188.02,1176.14,1178.42,54363
2015-06-24 00:00:00+00:00,1178.51,1180.22,1169.82,1175.07,50909
2015-06-25 00:00:00+00:00,1174.88,1178.05,1171.54,1172.74,52058
2015-06-26 00:00:00+00:00,1173.71,1178.57,1168.5,1175.18,64773
2015-06-29 00:00:00+00:00,1186.25,1187.9,1173.76,1179.32,99179
2015-06-30 00:00:00+00:00,1180.04,1180.47,1166.69,1171.83,94345
2015-07-01 00:00:00+00:00,1174.14,1175.0,1167.53,1168.48,56887
2015-07-02 00:00:00+00:00,1168.35,1169.51,1155.98,1165.63,59037
2015-07-03 00:00:00+00:00,1165.68,1170.18,1164.65,1168.58,38511
2015-07-06 00:00:00+00:00,1172.0,1174.67,1162.84,1170.05,74428
2015-07-07 00:00:00+00:00,1170.33,1170.33,1147.84,1156.74,82425
2015-07-08 00:00:00+00:00,1153.25,1164.64,1147.13,1157.4,95010
2015-07-09 00:00:00+00:00,1159.08,1167.69,1155.93,1159.73,75095
2015-07-10 00:00:00+00:00,1159.63,1165.33,1157.39,1163.59,61457
2015-07-13 00:00:00+00:00,1162.73,1164.13,1151.07,1157.78,60970
2015-07-14 00:00:00+00:00,1158.07,1159.75,1152.88,1155.35,51921
2015-07-15 00:00:00+00:00,1155.65,1156.71,1143.21,1149.34,55067
2015-07-16 00:00:00+00:00,1149.02,1149.39,1142.22,1145.23,67261
2015-07-17 00:00:00+00:00,1145.08,1145.68,1131.06,1134.23,68800
2015-07-20 00:00:00+00:00,1132.56,1133.1,1069.72,1096.7,106589
2015-07-21 00:00:00+00:00,1098.26,1109.82,1096.91,1100.92,76602
2015-07-22 00:00:00+00:00,1102.66,1103.33,1087.02,1094.01,80466
2015-07-23 00:00:00+00:00,1094.43,1105.72,1087.23,1090.63,82598
2015-07-24 00:00:00+00:00,1091.23,1101.48,1077.2,1099.08,105882
2015-07-27 00:00:00+00:00,1095.58,1104.93,1088.34,1094.13,91614
2015-07-28 00:00:00+00:00,1094.68,1098.94,1091.55,1095.23,68617
2015-07-29 00:00:00+00:00,1095.09,1101.89,1090.36,1096.78,83814
2015-07-30 00:00:00+00:00,1096.11,1098.57,1082.47,1088.53,79155
2015-07-31 00:00:00+00:00,1088.65,1103.46,1079.98,1095.48,87334
2015-08-03 00:00:00+00:00,1095.72,1097.68,1085.79,1086.66,78529
2015-08-04 00:00:00+00:00,1085.32,1094.78,1080.94,1087.61,85679
2015-08-05 00:00:00+00:00,1087.31,1092.48,1082.92,1084.77,85935
2015-08-06 00:00:00+00:00,1084.82,1094.0,1083.46,1089.33,79616
2015-08-07 00:00:00+00:00,1089.77,1099.43,1082.74,1094.17,96112
2015-08-10 00:00:00+00:00,1093.04,1108.84,1089.58,1104.43,84692
2015-08-11 00:00:00+00:00,1104.32,1119.32,1093.75,1108.75,112515
2015-08-12 00:00:00+00:00,1108.83,1125.75,1101.74,1123.91,120939
2015-08-13 00:00:00+00:00,1125.26,1126.71,1113.6,1115.09,87464
2015-08-14 00:00:00+00:00,1115.18,1121.01,1111.69,1114.82,80491
2015-08-17 00:00:00+00:00,1114.7,1122.74,1113.48,1117.34,76335
2015-08-18 00:00:00+00:00,1117.4,1121.12,1109.63,1117.49,82628
2015-08-19 00:00:00+00:00,1118.0,1134.56,1116.24,1134.19,98777
2015-08-20 00:00:00+00:00,1133.46,1153.95,1132.58,1152.08,110294
2015-08-21 00:00:00+00:00,1153.8,1168.16,1148.91,1160.54,121955
2015-08-24 00:00:00+00:00,1164.32,1170.01,1145.63,1154.97,176042
2015-08-25 00:00:00+00:00,1153.47,1156.53,1134.58,1140.5,133208
2015-08-26 00:00:00+00:00,1140.32,1146.36,1117.68,1124.77,131153
2015-08-27 00:00:00+00:00,1125.89,1129.19,1118.23,1124.56,127737
2015-08-28 00:00:00+00:00,1125.45,1140.76,1123.72,1134.02,121671
2015-08-31 00:00:00+00:00,1133.77,1136.56,1125.64,1134.71,91804
2015-09-01 00:00:00+00:00,1134.6,1147.85,1134.31,1139.97,104063
2015-09-02 00:00:00+00:00,1139.71,1142.36,1132.03,1133.78,95659
2015-09-03 00:00:00+00:00,1133.68,1134.24,1121.83,1125.11,80486
2015-09-04 00:00:00+00:00,1125.09,1132.86,1116.72,1122.33,82854
2015-09-07 00:00:00+00:00,1122.99,1124.73,1116.04,1118.94,54303
2015-09-08 00:00:00+00:00,1120.17,1126.67,1118.58,1121.27,81389
2015-09-09 00:00:00+00:00,1121.64,1125.32,1101.23,1107.35,92344
2015-09-10 00:00:00+00:00,1106.98,1114.97,1103.79,1110.37,93059
2015-09-11 00:00:00+00:00,1111.03,1112.83,1098.71,1107.68,74422
