time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2020-08-21,1948.08,1955.97,1911.26,1938.98,149830,,,1938.98,1938.98,1938.98,,,,,,,,,,0.0,0.0,,,,NONE,1,0,RANGE,NORMAL_VOL
2020-08-24,1936.69,1961.88,1923.74,1928.38,131802,,,1936.6244444444446,1938.0163636363636,1938.6014285714286,,,,,,,,,,-0.8455840455840189,-0.1691168091168038,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-08-25,1930.34,1937.49,1914.19,1926.87,131524,,,1934.4567901234568,1937.0030578512396,1938.182448979592,,,,,,,,,,-1.6188982232288254,-0.4590730919392081,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-08-26,1928.28,1954.82,1902.64,1953.14,134650,,,1938.6086145404665,1938.470052592036,1938.716647230321,,,,,,,,,,-0.11070963621864394,-0.38940040079509525,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-08-27,1951.92,1976.53,1909.79,1928.32,159239,,,1936.322255753696,1937.5473205382143,1938.3453384006668,,,,,,,,,,-0.907761773048378,-0.4930726752457518,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2020-08-28,1929.98,1973.78,1923.15,1964.34,148365,,,1942.5484211417636,1939.9830186711038,1939.2737191720717,,,,,,,,,,1.3515023564787043,-0.12415766890086061,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-08-31,1969.07,1976.54,1954.23,1968.22,99691,,,1948.253216443594,1942.5500169737306,1940.3075149159263,,,,,,,,,,3.415695023698163,0.5838128696189442,,,,NONE,1,0,TREND_UP,NORMAL_VOL
2020-09-01,1968.35,1992.29,1963.35,1970.63,110904,,,1953.2258350116842,1945.1027427033914,1941.3904608117862,,,,,,,,,,5.186265403728157,1.504303376440787,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-02,1968.21,1973.26,1932.39,1943.08,115889,,,1950.9712050090877,1944.918857003083,1941.4508014970795,,,,,,,,,,4.316640882056845,2.066770877563999,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-03,1942.01,1950.94,1921.75,1930.45,121698,,,1946.4109372292903,1943.6035063664392,1941.0579157293266,,,,,,,,,,2.5785972724047497,2.169136156532149,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2020-09-04,1931.28,1948.36,1916.27,1933.09,122132,,,1943.4507289561147,1942.6477330603993,1940.7733473104222,,,,,,,,,,1.3980947603138247,2.014927877288484,,,,NONE,0,0,TREND_UP,NORMAL_VOL
