time,open,high,low,close,tick_volume,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
2025-08-06 09:00:00,3374.23,3378.58,3373.02,3375.16,3108,,,3375.16,3375.16,3375.16,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
2025-08-06 10:00:00,3375.17,3377.06,3369.06,3373.6,3099,,,3374.813333333333,3375.0181818181813,3375.1042857142857,,,,,,,,,,-0.12444444444417968,-0.024888888888835937,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2025-08-06 11:00:00,3373.38,3374.61,3364.87,3365.13,3290,,,3372.661481481481,3374.1192561983466,3374.74806122449,,,,,,,,,,-0.8961949984172861,-0.199150110794526,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 12:00:00,3365.12,3367.77,3358.24,3358.89,3464,,,3369.6011522633744,3372.734778362133,3374.1817018950437,,,,,,,,,,-1.9884075977020075,-0.5570016081760223,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 13:00:00,3358.73,3365.33,3358.24,3363.56,3569,,,3368.2586739826243,3371.9007076019393,3373.802355398792,,,,,,,,,,-2.4489341914691067,-0.9353881248346392,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 14:00:00,3363.55,3366.94,3360.68,3365.13,2725,,,3367.563413097597,3371.2851887290353,3373.492628420264,,,,,,,,,,-2.656595378136444,-1.2796295754950002,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 15:00:00,3365.0,3369.24,3360.25,3367.59,3789,,,3367.569321298131,3370.9492624809413,3373.281820262397,,,,,,,,,,-2.5927789816150835,-1.5422594567190169,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 16:00:00,3367.57,3373.48,3365.47,3371.64,4889,,,3368.4739165652127,3371.0120568008556,3373.2231838244543,,,,,,,,,,-2.19015611845316,-1.6718387890658457,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 17:00:00,3371.62,3379.32,3369.73,3379.32,4338,,,3370.884157328499,3371.767324364414,3373.440927259295,,,,,,,,,,-1.2371022385577817,-1.584891478964233,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 18:00:00,3379.31,3379.98,3370.24,3377.39,4258,,,3372.329900144388,3372.278476694922,3373.581965571463,,,,,,,,,,-0.6302696860630022,-1.393967120383987,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2025-08-06 19:00:00,3377.4,3379.43,3372.96,3376.05,3895,,,3373.1565890011907,3372.6213424499288,3373.6701096581965,,,,,,,,,,-0.2545431029284373,-1.1660823168928771,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 20:00:00,3376.08,3377.56,3370.86,3374.57,3872,,,3373.470680334259,3372.798493136299,3373.702248598975,,,,,,,,,,-0.07533232579544347,-0.9479323186733905,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2025-08-06 21:00:00,3374.54,3374.57,3369.06,3371.59,3628,,,3373.0527513710904,3372.6886301239083,3373.6268111490117,,,,,,,,,,-0.17178733145146907,-0.7927033212290062,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 22:00:00,3371.86,3373.14,3370.37,3371.66,3362,,,3372.743251066404,3372.595118294462,3373.55656789369,,7.425714285714354,0.0022023911917910923,,,,,,,-0.23981575660673116,-0.6821258083045513,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-06 23:00:00,3371.49,3372.17,3367.15,3368.4,2042,,,3371.7780841627587,3372.213743904056,3373.3724047546298,42.92294807370205,7.387142857142927,0.0021930717424126964,,,,,,,-0.5504384172659229,-0.6557883300968257,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-07 01:00:00,3372.59,3374.8,3369.93,3372.09,2112,,,3371.847398793257,3372.202494458233,3373.3266045848213,48.4866706754863,7.2728571428572195,0.002156780258788235,,,,,,,-0.493171972856544,-0.6232650586487695,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-07 02:00:00,3372.03,3372.03,3367.76,3370.12,2334,,,3371.4635323947555,3372.013176780212,3373.212082992506,55.750172850887004,6.886428571428626,0.0020433778534380454,,,,,,,-0.5998359041841468,-0.618579227755845,,,,NONE,1,0,TREND_DOWN,NORMAL_VOL
2025-08-07 03:00:00,3370.26,3374.9,3365.3,3372.4,3940,,,3371.671636307032,3372.048342527465,3373.183080028488,67.1316256657369,6.891428571428605,0.0020434789975769794,,,,,,,-0.4946884326691361,-0.5938010687385031,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-07 04:00:00,3372.37,3382.44,3370.29,3382.28,4043,,,3374.029050461025,3372.9784932067864,3373.5079700274705,70.967741935484,7.252857142857173,0.002144369225154976,,,,,,,0.38147768812086724,-0.39874531736662905,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-07 05:00:00,3382.31,3384.22,3378.08,3379.56,3509,3371.8065,,3375.2581503585748,3373.5768120061693,3373.724113955061,65.75671544005209,7.244285714285719,0.0021435588402885937,3383.543029165052,3360.0699708349484,0.8303148610190347,3384.22,3358.24,0.8206312548113991,0.8466052450007737,-0.1496752048931485,,,,NONE,0,0,TREND_DOWN,NORMAL_VOL
2025-08-07 06:00:00,3379.58,3380.32,3376.54,3379.68,3042,3372.0325,,3376.2407836122247,3374.1316472783355,3373.936824170952,63.912543153049036,6.872142857142892,0.0020333708685860473,3384.2068351704356,3359.858164829564,0.8140828592665675,3384.22,3358.24,0.8252501924557367,1.210946148596122,0.1224490658047056,,,,NONE,1,0,TREND_UP,NORMAL_VOL
2025-08-07 07:00:00,3379.75,3380.68,3376.86,3377.57,3002,3372.2309999999998,,3376.53616503173,3374.444224798487,3374.066580450561,57.14285714285746,6.572857142857141,0.0019460313606696948,3384.6401424700543,3359.821857529945,0.7151236482651535,3384.22,3358.24,0.744033872209406,1.314279379063919,0.3608151284565483,,,,NONE,0,0,TREND_UP,NORMAL_VOL
2025-08-07 08:00:00,3377.6,3380.93,3371.68,3375.45,4034,3372.7470000000003,,3376.294795024679,3374.5356589077155,3374.1159882916127,44.61752433935978,6.5485714285714165,0.0019400587858126818,3384.7649691777733,3360.7290308222273,0.6124566039409829,3384.22,3358.24,0.6624326404926876,1.2111441108654617,0.530880924938331,,,,NONE,0,0,TREND_UP,NORMAL_VOL
